Row Labels,Count of CaseNumber,,,,,,,
2017-0E4-008907,2,,,,,,,
1624,1,,,,,,,
2860,1,,,,,,,
2017-0E4-008978,1,,,,,,,
1667,1,,,,,,,
2017-0E4-009002,3,,,,,,,
532,1,,,,,,,
817,1,,,,,,,
2386,1,,,,,,,
2017-0E4-009176,1,,,,,,,
1667,1,,,,,,,
2017-0E4-009268,1,,,,,,,
2738,1,,,,,,,
2017-0E4-009290,2,,,,,,,
532,2,,,,,,,
2017-0E4-009291,1,,,,,,,
532,1,,,,,,,
2017-0E4-009707,1,,,,,,,
532,1,,,,,,,
2017-0E4-010628,3,,,,,,,
532,1,,,,,,,
817,1,,,,,,,
3437,1,,,,,,,
2017-0E4-011387,1,,,,,,,
2582,1,,,,,,,
2017-0E4-011388,2,,,,,,,
2582,1,,,,,,,
2705,1,,,,,,,
2017-0E4-011389,3,,,,,,,
(blank),3,,,,,,,
2017-0E4-011391,1,,,,,,,
2582,1,,,,,,,
2017-0F1-000870,1,,,,,,,
2711,1,,,,,,,
2017-0F1-001332,1,,,,,,,
2291,1,,,,,,,
2017-0F1-003150,5,,,,,,,
963,1,,,,,,,
1980,1,,,,,,,
2895,1,,,,,,,
3169,1,,,,,,,
3331,1,,,,,,,
2017-0F1-007374,1,,,,,,,
2500,1,,,,,,,
2017-0F1-008580,1,,,,,,,
3132,1,,,,,,,
2017-0F1-009475,1,,,,,,,
963,1,,,,,,,
2017-0F1-011107,2,,,,,,,
995,1,,,,,,,
1571,1,,,,,,,
2017-0F1-011241,2,,,,,,,
963,1,,,,,,,
3287,1,,,,,,,
2017-0F1-011893,1,,,,,,,
3169,1,,,,,,,
2017-0F1-013225,1,,,,,,,
(blank),1,,,,,,,
2017-0F1-013474,2,,,,,,,
1829,1,,,,,,,
3434,1,,,,,,,
2017-0F1-016389,1,,,,,,,
2851,1,,,,,,,
2017-0F1-016448,1,,,,,,,
3132,1,,,,,,,
2017-0F1-016899,1,,,,,,,
865,1,,,,,,,
2017-0F1-018478,1,,,,,,,
3363,1,,,,,,,
2017-0F1-018807,1,,,,,,,
2662,1,,,,,,,
2017-0F1-019460,1,,,,,,,
3431,1,,,,,,,
2017-0F1-020810,1,,,,,,,
3331,1,,,,,,,
2017-0F1-022535,2,,,,,,,
2947,2,,,,,,,
2017-0F1-022558,4,,,,,,,
2947,4,,,,,,,
2017-0F1-023505,1,,,,,,,
3185,1,,,,,,,
2017-0F1-023638,1,,,,,,,
3265,1,,,,,,,
2017-0F1-033665,3,,,,,,,
963,1,,,,,,,
995,1,,,,,,,
3132,1,,,,,,,
2017-0F1-034323,3,,,,,,,
1588,1,,,,,,,
1980,1,,,,,,,
3029,1,,,,,,,
2017-0F1-038277,1,,,,,,,
3114,1,,,,,,,
2017-0F1-038576,1,,,,,,,
3287,1,,,,,,,
2017-0F1-040084,1,,,,,,,
2291,1,,,,,,,
2017-0F1-041277,1,,,,,,,
3331,1,,,,,,,
2017-0F1-042778,3,,,,,,,
963,1,,,,,,,
2895,1,,,,,,,
3029,1,,,,,,,
2017-0F1-042786,8,,,,,,,
1736,2,,,,,,,
1980,2,,,,,,,
3029,2,,,,,,,
3431,2,,,,,,,
2017-0F1-044413,1,,,,,,,
2740,1,,,,,,,
2017-0F1-044433,2,,,,,,,
3132,1,,,,,,,
3251,1,,,,,,,
2017-0F1-044949,2,,,,,,,
1571,1,,,,,,,
2594,1,,,,,,,
2017-0F1-045651,1,,,,,,,
3431,1,,,,,,,
2017-0H1-002170,1,,,,,,,
3297,1,,,,,,,
2017-0H2-001904,6,,,,,,,
3922,2,,,,,,,
4006,2,,,,,,,
4052,2,,,,,,,
2017-0H3-000256,2,,,,,,,
3744,2,,,,,,,
2017-0H3-000262,1,,,,,,,
3707,1,,,,,,,
2017-0H3-000688,2,,,,,,,
3266,1,,,,,,,
3523,1,,,,,,,
2017-0H3-000819,1,,,,,,,
3744,1,,,,,,,
2017-0H3-000862,1,,,,,,,
4014,1,,,,,,,
2017-0H3-001182,1,,,,,,,
(blank),1,,,,,,,
2017-0H3-002795,1,,,,,,,
3674,1,,,,,,,
2017-0H3-002819,3,,,,,,,
3674,3,,,,,,,
2017-0H3-004887,1,,,,,,,
3744,1,,,,,,,
2017-0H3-005243,1,,,,,,,
2354,1,,,,,,,
2017-0H3-006784,1,,,,,,,
3744,1,,,,,,,
2017-0H3-006938,2,,,,,,,
3744,2,,,,,,,
2017-0H3-008127,1,,,,,,,
3744,1,,,,,,,
2017-0H4-000218,1,,,,,,,
2172,1,,,,,,,
2017-0H4-000936,1,,,,,,,
(blank),1,,,,,,,
2017-0H4-001913,1,,,,,,,
1221,1,,,,,,,
2017-0H4-002145,1,,,,,,,
3094,1,,,,,,,
2017-0H4-002149,2,,,,,,,
3094,2,,,,,,,
2017-0H4-002684,1,,,,,,,
3065,1,,,,,,,
2017-0H4-002994,6,,,,,,,
1954,2,,,,,,,
3695,2,,,,,,,
3730,2,,,,,,,
2017-0H4-003041,1,,,,,,,
3615,1,,,,,,,
2017-0H4-003160,1,,,,,,,
3409,1,,,,,,,
2017-0H4-003252,2,,,,,,,
2965,1,,,,,,,
3576,1,,,,,,,
2017-0H4-003288,2,,,,,,,
3150,2,,,,,,,
2017-0H4-003289,1,,,,,,,
2068,1,,,,,,,
2017-0H4-003312,1,,,,,,,
3281,1,,,,,,,
2017-0H4-003366,2,,,,,,,
3065,2,,,,,,,
2017-0H4-003394,1,,,,,,,
3249,1,,,,,,,
2017-0H4-003406,1,,,,,,,
3730,1,,,,,,,
2017-0H4-003421,3,,,,,,,
3219,1,,,,,,,
3394,1,,,,,,,
3581,1,,,,,,,
2017-0H4-003431,2,,,,,,,
3576,1,,,,,,,
3577,1,,,,,,,
2017-0H4-003491,2,,,,,,,
3281,2,,,,,,,
2017-0H4-003493,2,,,,,,,
3120,1,,,,,,,
3730,1,,,,,,,
2017-0H4-003533,1,,,,,,,
(blank),1,,,,,,,
2017-0H4-003590,1,,,,,,,
3581,1,,,,,,,
2017-0H4-003591,1,,,,,,,
3581,1,,,,,,,
2017-0H4-003694,2,,,,,,,
3907,1,,,,,,,
4029,1,,,,,,,
2017-0H4-003769,2,,,,,,,
3065,1,,,,,,,
3120,1,,,,,,,
2017-0H4-003784,1,,,,,,,
(blank),1,,,,,,,
2017-0H4-003787,2,,,,,,,
796,1,,,,,,,
842,1,,,,,,,
2017-0H4-003801,1,,,,,,,
3576,1,,,,,,,
2017-0H4-003831,1,,,,,,,
3297,1,,,,,,,
2017-0H4-003850,1,,,,,,,
3409,1,,,,,,,
2017-0H4-003852,1,,,,,,,
3219,1,,,,,,,
2017-0H4-004004,1,,,,,,,
3581,1,,,,,,,
2017-0H4-004039,1,,,,,,,
2965,1,,,,,,,
2017-0H4-004069,1,,,,,,,
3065,1,,,,,,,
2017-0H4-004152,1,,,,,,,
3379,1,,,,,,,
2017-0H4-004160,1,,,,,,,
3065,1,,,,,,,
2017-0H4-004186,4,,,,,,,
3120,2,,,,,,,
3576,2,,,,,,,
2017-0H4-004308,1,,,,,,,
3065,1,,,,,,,
2017-0H4-004340,1,,,,,,,
2994,1,,,,,,,
2017-0H4-004409,2,,,,,,,
3394,1,,,,,,,
3695,1,,,,,,,
2017-0H4-004481,1,,,,,,,
843,1,,,,,,,
2017-0H4-004492,1,,,,,,,
843,1,,,,,,,
2017-0H4-004535,1,,,,,,,
(blank),1,,,,,,,
2017-0H4-004553,2,,,,,,,
2375,2,,,,,,,
2017-0H4-004736,1,,,,,,,
3065,1,,,,,,,
2017-0H4-004738,1,,,,,,,
2068,1,,,,,,,
2017-0H4-004815,1,,,,,,,
3065,1,,,,,,,
2017-0H4-004840,2,,,,,,,
3065,2,,,,,,,
2017-0H4-004841,1,,,,,,,
3065,1,,,,,,,
2017-0H4-004958,1,,,,,,,
3250,1,,,,,,,
2017-0H4-005079,1,,,,,,,
3394,1,,,,,,,
2017-0H4-005080,1,,,,,,,
3394,1,,,,,,,
2017-0H4-005108,6,,,,,,,
3120,3,,,,,,,
3576,3,,,,,,,
2017-0H4-005161,1,,,,,,,
3581,1,,,,,,,
2017-0H4-005172,1,,,,,,,
3065,1,,,,,,,
2017-0H4-005173,2,,,,,,,
3065,2,,,,,,,
2017-0H4-005242,1,,,,,,,
3615,1,,,,,,,
2017-0H4-005334,1,,,,,,,
3576,1,,,,,,,
2017-0H4-005563,1,,,,,,,
3065,1,,,,,,,
2017-0H4-005589,2,,,,,,,
3065,2,,,,,,,
2017-0H4-005644,1,,,,,,,
3379,1,,,,,,,
2017-0H4-005661,1,,,,,,,
1221,1,,,,,,,
2017-0H4-005690,1,,,,,,,
3065,1,,,,,,,
2017-0H4-005732,1,,,,,,,
3120,1,,,,,,,
2017-0H4-005766,1,,,,,,,
1221,1,,,,,,,
2017-0H4-005775,2,,,,,,,
3281,1,,,,,,,
3695,1,,,,,,,
2017-0H4-005786,1,,,,,,,
3972,1,,,,,,,
2017-0H4-005796,2,,,,,,,
4029,2,,,,,,,
2017-0H4-005896,1,,,,,,,
3615,1,,,,,,,
2017-0H4-005928,2,,,,,,,
3078,2,,,,,,,
2017-0H4-005934,1,,,,,,,
3281,1,,,,,,,
2017-0H4-005960,1,,,,,,,
2965,1,,,,,,,
2017-0H4-005995,1,,,,,,,
3065,1,,,,,,,
2017-0H4-006012,1,,,,,,,
3730,1,,,,,,,
2017-0H4-006102,2,,,,,,,
1221,1,,,,,,,
2994,1,,,,,,,
2017-0H4-006147,2,,,,,,,
3281,2,,,,,,,
2017-0H4-006199,1,,,,,,,
3065,1,,,,,,,
2017-0H4-006364,1,,,,,,,
3581,1,,,,,,,
2017-0H4-006568,1,,,,,,,
3617,1,,,,,,,
2017-0H4-006572,2,,,,,,,
3281,1,,,,,,,
3695,1,,,,,,,
2017-0H4-006803,1,,,,,,,
3972,1,,,,,,,
2017-0H4-006939,1,,,,,,,
2994,1,,,,,,,
2017-0H5-000848,1,,,,,,,
3570,1,,,,,,,
2017-0H5-003386,1,,,,,,,
3250,1,,,,,,,
2017-0H5-003414,3,,,,,,,
3202,3,,,,,,,
2017-0H5-003738,1,,,,,,,
3150,1,,,,,,,
2017-0H5-004048,32,,,,,,,
2117,8,,,,,,,
3323,8,,,,,,,
3511,8,,,,,,,
3637,8,,,,,,,
2017-0H5-004547,1,,,,,,,
3150,1,,,,,,,
2017-0H5-005686,1,,,,,,,
3202,1,,,,,,,
2017-0H5-006308,1,,,,,,,
3205,1,,,,,,,
2017-0H5-006320,1,,,,,,,
1491,1,,,,,,,
2017-0H5-006993,1,,,,,,,
3480,1,,,,,,,
2017-0H5-007032,1,,,,,,,
3205,1,,,,,,,
2017-0H5-007249,4,,,,,,,
3094,4,,,,,,,
2017-0H5-007620,1,,,,,,,
3205,1,,,,,,,
2017-0H5-009127,6,,,,,,,
3094,3,,,,,,,
3150,3,,,,,,,
2017-0H5-009145,1,,,,,,,
3570,1,,,,,,,
2017-0H6-000575,9,,,,,,,
3370,3,,,,,,,
3569,3,,,,,,,
3868,3,,,,,,,
2017-0H6-000927,2,,,,,,,
3217,2,,,,,,,
2017-0H6-001787,1,,,,,,,
3188,1,,,,,,,
2017-0H6-002145,1,,,,,,,
3255,1,,,,,,,
2017-0H6-002183,1,,,,,,,
3315,1,,,,,,,
2017-0H6-002501,2,,,,,,,
3344,2,,,,,,,
2017-0H6-002652,1,,,,,,,
3863,1,,,,,,,
2017-0H6-003448,1,,,,,,,
3188,1,,,,,,,
2017-0H6-003466,4,,,,,,,
(blank),4,,,,,,,
2017-0H6-003742,2,,,,,,,
3217,2,,,,,,,
2017-0H6-004124,4,,,,,,,
2832,2,,,,,,,
3326,2,,,,,,,
2017-0H6-004133,2,,,,,,,
2636,2,,,,,,,
2017-0H6-004456,1,,,,,,,
(blank),1,,,,,,,
2017-0H6-004992,2,,,,,,,
3250,1,,,,,,,
3281,1,,,,,,,
2017-0H6-005196,1,,,,,,,
3188,1,,,,,,,
2017-0H6-005242,1,,,,,,,
3078,1,,,,,,,
2017-0H6-005304,2,,,,,,,
3078,2,,,,,,,
2017-0H6-005307,5,,,,,,,
3569,5,,,,,,,
2017-0H6-005311,1,,,,,,,
3078,1,,,,,,,
2017-0H6-005315,1,,,,,,,
3974,1,,,,,,,
2017-0H6-005479,4,,,,,,,
3078,2,,,,,,,
3217,2,,,,,,,
2017-0H6-005481,1,,,,,,,
3217,1,,,,,,,
2017-0H6-005818,1,,,,,,,
3863,1,,,,,,,
2017-0H6-006227,4,,,,,,,
3035,2,,,,,,,
3344,2,,,,,,,
2017-0H6-006815,1,,,,,,,
(blank),1,,,,,,,
2017-0H6-006881,2,,,,,,,
2636,1,,,,,,,
3078,1,,,,,,,
2017-0H7-001893,2,,,,,,,
3541,2,,,,,,,
2017-0H7-003146,2,,,,,,,
3541,2,,,,,,,
2017-0H7-003147,1,,,,,,,
3541,1,,,,,,,
2017-0H7-003891,1,,,,,,,
3541,1,,,,,,,
2017-0H7-003988,2,,,,,,,
3541,2,,,,,,,
2017-0H7-004322,1,,,,,,,
3541,1,,,,,,,
2017-0H7-004338,1,,,,,,,
3541,1,,,,,,,
2017-0H7-004348,1,,,,,,,
3541,1,,,,,,,
2017-0H7-004391,3,,,,,,,
3217,1,,,,,,,
3370,1,,,,,,,
3682,1,,,,,,,
2017-0H7-004511,2,,,,,,,
3541,2,,,,,,,
2017-0H7-004518,1,,,,,,,
3541,1,,,,,,,
2017-0H7-005417,4,,,,,,,
3541,4,,,,,,,
2017-0H7-005523,1,,,,,,,
3541,1,,,,,,,
2017-0H7-005657,1,,,,,,,
(blank),1,,,,,,,
2017-0H7-005858,1,,,,,,,
3541,1,,,,,,,
2017-0H7-006432,1,,,,,,,
3541,1,,,,,,,
2017-GEU-000127,1,,,,,,,
(blank),1,,,,,,,
2017-GEU-001521,5,,,,,,,
(blank),5,,,,,,,
2017-GEU-001551,6,,,,,,,
2180,2,,,,,,,
3518,2,,,,,,,
3678,2,,,,,,,
2017-GEU-001770,2,,,,,,,
3518,2,,,,,,,
2017-GEU-001888,1,,,,,,,
(blank),1,,,,,,,
2017-GEU-002590,1,,,,,,,
(blank),1,,,,,,,
2017-TK9-002569,8,,,,,,,
2119,1,,,,,,,
3076,1,,,,,,,
3151,1,,,,,,,
3547,1,,,,,,,
3632,1,,,,,,,
3719,1,,,,,,,
3788,1,,,,,,,
4053,1,,,,,,,
2017-TMU-001848,2,,,,,,,
2602,1,,,,,,,
3521,1,,,,,,,
2018-0A1-005866,2,,,,,,,
4164,2,,,,,,,
2018-0A1-012334,1,,,,,,,
(blank),1,,,,,,,
2018-0A2-002044,3,,,,,,,
4030,3,,,,,,,
2018-0A2-003572,2,,,,,,,
3959,1,,,,,,,
4240,1,,,,,,,
2018-0A4-001213,1,,,,,,,
3735,1,,,,,,,
2018-0A4-002077,3,,,,,,,
3823,1,,,,,,,
4142,2,,,,,,,
2018-0A4-003858,1,,,,,,,
3178,1,,,,,,,
2018-0A4-006659,1,,,,,,,
2933,1,,,,,,,
2018-0A4-007234,3,,,,,,,
3823,3,,,,,,,
2018-0A5-003408,1,,,,,,,
4211,1,,,,,,,
2018-0A5-003470,1,,,,,,,
3601,1,,,,,,,
2018-0A5-004475,1,,,,,,,
4040,1,,,,,,,
2018-0A5-004478,1,,,,,,,
3928,1,,,,,,,
2018-0A5-005144,1,,,,,,,
2933,1,,,,,,,
2018-0A5-005938,1,,,,,,,
4119,1,,,,,,,
2018-0A5-006063,1,,,,,,,
3915,1,,,,,,,
2018-0A5-006176,3,,,,,,,
3772,1,,,,,,,
3788,1,,,,,,,
4053,1,,,,,,,
2018-0A5-007083,1,,,,,,,
3385,1,,,,,,,
2018-0A5-008145,3,,,,,,,
3108,3,,,,,,,
2018-0A5-008584,1,,,,,,,
4126,1,,,,,,,
2018-0A5-008614,4,,,,,,,
2933,2,,,,,,,
3905,2,,,,,,,
2018-0A6-002932,2,,,,,,,
3643,1,,,,,,,
4083,1,,,,,,,
2018-0A6-003901,1,,,,,,,
3605,1,,,,,,,
2018-0A6-003945,2,,,,,,,
3605,2,,,,,,,
2018-0A6-003947,1,,,,,,,
3605,1,,,,,,,
2018-0A6-006073,1,,,,,,,
3605,1,,,,,,,
2018-0A6-007592,1,,,,,,,
3236,1,,,,,,,
2018-0A6-007696,1,,,,,,,
3223,1,,,,,,,
2018-0A6-008508,2,,,,,,,
3223,1,,,,,,,
3605,1,,,,,,,
2018-0B2-001086,1,,,,,,,
(blank),1,,,,,,,
2018-0B3-002966,2,,,,,,,
2727,1,,,,,,,
3364,1,,,,,,,
2018-0B3-006894,1,,,,,,,
2966,1,,,,,,,
2018-0B3-008974,1,,,,,,,
2983,1,,,,,,,
2018-0B3-009358,2,,,,,,,
(blank),2,,,,,,,
2018-0B4-003472,1,,,,,,,
4151,1,,,,,,,
2018-0B6-003718,1,,,,,,,
4059,1,,,,,,,
2018-0B6-008704,1,,,,,,,
(blank),1,,,,,,,
2018-0BH-000838,1,,,,,,,
(blank),1,,,,,,,
2018-0C1-004002,4,,,,,,,
4159,2,,,,,,,
4195,2,,,,,,,
2018-0C2-009233,5,,,,,,,
4032,5,,,,,,,
2018-0C4-005579,4,,,,,,,
3754,2,,,,,,,
3769,2,,,,,,,
2018-0C5-000008,1,,,,,,,
3871,1,,,,,,,
2018-0C5-000063,1,,,,,,,
3871,1,,,,,,,
2018-0C5-001680,2,,,,,,,
4093,2,,,,,,,
2018-0C5-004941,3,,,,,,,
4209,3,,,,,,,
2018-0C5-005063,1,,,,,,,
4209,1,,,,,,,
2018-0C6-003836,1,,,,,,,
3967,1,,,,,,,
2018-0C6-009472,2,,,,,,,
4035,2,,,,,,,
2018-0C7-003506,1,,,,,,,
4223,1,,,,,,,
2018-0C7-005032,1,,,,,,,
2961,1,,,,,,,
2018-0C9-003504,1,,,,,,,
3416,1,,,,,,,
2018-0C9-003625,1,,,,,,,
2642,1,,,,,,,
2018-0CX-003904,1,,,,,,,
4067,1,,,,,,,
2018-0D2-002672,1,,,,,,,
2577,1,,,,,,,
2018-0D3-000816,2,,,,,,,
2728,1,,,,,,,
3731,1,,,,,,,
2018-0D3-002989,1,,,,,,,
(blank),1,,,,,,,
2018-0D3-005942,2,,,,,,,
3728,1,,,,,,,
3731,1,,,,,,,
2018-0D3-007433,2,,,,,,,
3438,1,,,,,,,
3731,1,,,,,,,
2018-0D4-001680,2,,,,,,,
3476,2,,,,,,,
2018-0D4-001681,1,,,,,,,
3476,1,,,,,,,
2018-0D4-001874,2,,,,,,,
3476,2,,,,,,,
2018-0D4-002436,1,,,,,,,
3476,1,,,,,,,
2018-0D4-002439,34,,,,,,,
2212,2,,,,,,,
2473,2,,,,,,,
2728,2,,,,,,,
2852,2,,,,,,,
2873,2,,,,,,,
2874,2,,,,,,,
2934,2,,,,,,,
3083,2,,,,,,,
3140,2,,,,,,,
3177,2,,,,,,,
3184,2,,,,,,,
3248,2,,,,,,,
3335,2,,,,,,,
3492,2,,,,,,,
3731,2,,,,,,,
3867,2,,,,,,,
4052,2,,,,,,,
2018-0D4-002511,1,,,,,,,
3476,1,,,,,,,
2018-0D4-002534,1,,,,,,,
3646,1,,,,,,,
2018-0D4-002669,1,,,,,,,
(blank),1,,,,,,,
2018-0D4-002705,1,,,,,,,
3476,1,,,,,,,
2018-0D4-002845,2,,,,,,,
3568,1,,,,,,,
3728,1,,,,,,,
2018-0D4-002902,1,,,,,,,
3476,1,,,,,,,
2018-0D4-002904,1,,,,,,,
3476,1,,,,,,,
2018-0D4-003731,1,,,,,,,
3476,1,,,,,,,
2018-0D4-003924,1,,,,,,,
3476,1,,,,,,,
2018-0D4-003927,2,,,,,,,
3476,2,,,,,,,
2018-0D4-003965,10,,,,,,,
2852,2,,,,,,,
3177,2,,,,,,,
3728,2,,,,,,,
3731,2,,,,,,,
3867,2,,,,,,,
2018-0D4-004102,1,,,,,,,
3476,1,,,,,,,
2018-0D4-004538,2,,,,,,,
3568,1,,,,,,,
3731,1,,,,,,,
2018-0D4-004747,2,,,,,,,
3476,2,,,,,,,
2018-0D4-005193,1,,,,,,,
3476,1,,,,,,,
2018-0D4-005194,1,,,,,,,
3476,1,,,,,,,
2018-0D4-005333,2,,,,,,,
3476,2,,,,,,,
2018-0D4-005555,1,,,,,,,
3476,1,,,,,,,
2018-0D4-005558,4,,,,,,,
3430,2,,,,,,,
3476,2,,,,,,,
2018-0D4-005734,4,,,,,,,
3476,4,,,,,,,
2018-0D4-006303,8,,,,,,,
3591,4,,,,,,,
4050,4,,,,,,,
2018-0D4-006370,3,,,,,,,
2728,1,,,,,,,
3568,1,,,,,,,
3731,1,,,,,,,
2018-0D4-006390,2,,,,,,,
3476,2,,,,,,,
2018-0D4-006672,2,,,,,,,
3476,2,,,,,,,
2018-0D4-006746,2,,,,,,,
3476,2,,,,,,,
2018-0D4-006892,1,,,,,,,
(blank),1,,,,,,,
2018-0D4-007079,2,,,,,,,
3476,2,,,,,,,
2018-0D4-007146,1,,,,,,,
3476,1,,,,,,,
2018-0D4-007346,1,,,,,,,
3476,1,,,,,,,
2018-0D4-007789,1,,,,,,,
3476,1,,,,,,,
2018-0D7-004377,2,,,,,,,
3794,1,,,,,,,
3858,1,,,,,,,
2018-0D7-004467,1,,,,,,,
3759,1,,,,,,,
2018-0D7-007372,1,,,,,,,
2754,1,,,,,,,
2018-0D7-007530,1,,,,,,,
2754,1,,,,,,,
2018-0D7-007737,1,,,,,,,
2754,1,,,,,,,
2018-0DH-000696,1,,,,,,,
3192,1,,,,,,,
2018-0DH-000819,1,,,,,,,
(blank),1,,,,,,,
2018-0E1-002938,1,,,,,,,
(blank),1,,,,,,,
2018-0E4-000541,4,,,,,,,
532,1,,,,,,,
1624,1,,,,,,,
2939,1,,,,,,,
3884,1,,,,,,,
2018-0E4-000609,2,,,,,,,
2814,2,,,,,,,
2018-0E4-001162,1,,,,,,,
1624,1,,,,,,,
2018-0E4-001814,1,,,,,,,
2738,1,,,,,,,
2018-0E4-002693,3,,,,,,,
817,1,,,,,,,
3285,1,,,,,,,
3938,1,,,,,,,
2018-0E4-003122,2,,,,,,,
(blank),2,,,,,,,
2018-0F1-000176,1,,,,,,,
3045,1,,,,,,,
2018-0F1-000540,1,,,,,,,
3045,1,,,,,,,
2018-0F1-000548,1,,,,,,,
3045,1,,,,,,,
2018-0F1-001089,3,,,,,,,
3029,1,,,,,,,
3251,1,,,,,,,
3363,1,,,,,,,
2018-0F1-002024,2,,,,,,,
1046,1,,,,,,,
2242,1,,,,,,,
2018-0F1-002464,1,,,,,,,
3363,1,,,,,,,
2018-0F1-002497,1,,,,,,,
2153,1,,,,,,,
2018-0F1-002714,1,,,,,,,
2740,1,,,,,,,
2018-0F1-004712,2,,,,,,,
1749,1,,,,,,,
3196,1,,,,,,,
2018-0F1-005273,1,,,,,,,
3287,1,,,,,,,
2018-0F1-005762,1,,,,,,,
3132,1,,,,,,,
2018-0F1-005822,2,,,,,,,
2153,2,,,,,,,
2018-0F1-005983,1,,,,,,,
1286,1,,,,,,,
2018-0F1-006050,1,,,,,,,
2007,1,,,,,,,
2018-0F1-006275,2,,,,,,,
963,1,,,,,,,
2711,1,,,,,,,
2018-0F1-006878,1,,,,,,,
3484,1,,,,,,,
2018-0F1-007395,1,,,,,,,
3194,1,,,,,,,
2018-0F1-007719,1,,,,,,,
3883,1,,,,,,,
2018-0F1-007733,1,,,,,,,
3331,1,,,,,,,
2018-0F1-007886,1,,,,,,,
3265,1,,,,,,,
2018-0F1-008261,3,,,,,,,
777,1,,,,,,,
1980,1,,,,,,,
2915,1,,,,,,,
2018-0F1-008376,3,,,,,,,
2763,1,,,,,,,
3045,1,,,,,,,
3431,1,,,,,,,
2018-0F1-008548,1,,,,,,,
3114,1,,,,,,,
2018-0F1-008660,1,,,,,,,
3431,1,,,,,,,
2018-0F1-009785,3,,,,,,,
2414,1,,,,,,,
3132,1,,,,,,,
3339,1,,,,,,,
2018-0F1-009880,1,,,,,,,
3484,1,,,,,,,
2018-0F1-010869,1,,,,,,,
2382,1,,,,,,,
2018-0F1-011008,2,,,,,,,
1588,1,,,,,,,
1802,1,,,,,,,
2018-0F1-011016,2,,,,,,,
777,1,,,,,,,
2829,1,,,,,,,
2018-0F1-011191,1,,,,,,,
2829,1,,,,,,,
2018-0F1-012301,1,,,,,,,
1286,1,,,,,,,
2018-0F1-012305,3,,,,,,,
1286,1,,,,,,,
2664,1,,,,,,,
2915,1,,,,,,,
2018-0F1-012311,2,,,,,,,
3265,2,,,,,,,
2018-0F1-012413,2,,,,,,,
2153,2,,,,,,,
2018-0F1-012474,1,,,,,,,
1286,1,,,,,,,
2018-0F1-012537,2,,,,,,,
2382,1,,,,,,,
3320,1,,,,,,,
2018-0F1-012872,1,,,,,,,
3132,1,,,,,,,
2018-0F1-012903,1,,,,,,,
1802,1,,,,,,,
2018-0F1-013003,4,,,,,,,
1802,2,,,,,,,
3723,2,,,,,,,
2018-0F1-013014,1,,,,,,,
3045,1,,,,,,,
2018-0F1-013022,1,,,,,,,
3045,1,,,,,,,
2018-0F1-013305,2,,,,,,,
910,1,,,,,,,
2837,1,,,,,,,
2018-0F1-013409,1,,,,,,,
3484,1,,,,,,,
2018-0F1-013441,4,,,,,,,
1570,1,,,,,,,
1975,1,,,,,,,
2923,1,,,,,,,
3048,1,,,,,,,
2018-0F1-013649,3,,,,,,,
910,1,,,,,,,
1980,1,,,,,,,
2382,1,,,,,,,
2018-0F1-013789,1,,,,,,,
1793,1,,,,,,,
2018-0F1-014662,1,,,,,,,
2415,1,,,,,,,
2018-0F1-014776,1,,,,,,,
3132,1,,,,,,,
2018-0F1-014933,1,,,,,,,
3287,1,,,,,,,
2018-0F1-015563,2,,,,,,,
3223,1,,,,,,,
3251,1,,,,,,,
2018-0F1-015822,1,,,,,,,
1571,1,,,,,,,
2018-0F1-015948,2,,,,,,,
3484,1,,,,,,,
3741,1,,,,,,,
2018-0F1-016477,1,,,,,,,
1855,1,,,,,,,
2018-0F1-016479,1,,,,,,,
3045,1,,,,,,,
2018-0F1-016496,1,,,,,,,
3045,1,,,,,,,
2018-0F1-016500,1,,,,,,,
3045,1,,,,,,,
2018-0F1-016751,1,,,,,,,
522,1,,,,,,,
2018-0F1-016866,1,,,,,,,
3363,1,,,,,,,
2018-0F1-016891,2,,,,,,,
963,1,,,,,,,
3029,1,,,,,,,
2018-0F1-017051,1,,,,,,,
3477,1,,,,,,,
2018-0F1-017473,1,,,,,,,
3431,1,,,,,,,
2018-0F1-017923,1,,,,,,,
3045,1,,,,,,,
2018-0F1-018318,3,,,,,,,
949,1,,,,,,,
1588,1,,,,,,,
3484,1,,,,,,,
2018-0F1-018615,1,,,,,,,
2393,1,,,,,,,
2018-0F1-018913,1,,,,,,,
3259,1,,,,,,,
2018-0F1-019660,1,,,,,,,
1855,1,,,,,,,
2018-0F1-020828,2,,,,,,,
865,1,,,,,,,
3045,1,,,,,,,
2018-0F1-021017,1,,,,,,,
3045,1,,,,,,,
2018-0F1-021930,2,,,,,,,
3441,1,,,,,,,
3479,1,,,,,,,
2018-0F1-022092,20,,,,,,,
963,10,,,,,,,
3029,10,,,,,,,
2018-0F1-022776,1,,,,,,,
3169,1,,,,,,,
2018-0F1-023494,2,,,,,,,
3149,1,,,,,,,
3597,1,,,,,,,
2018-0F1-023551,8,,,,,,,
995,1,,,,,,,
1415,1,,,,,,,
1434,1,,,,,,,
1793,1,,,,,,,
2829,1,,,,,,,
2851,1,,,,,,,
3048,1,,,,,,,
3160,1,,,,,,,
2018-0F1-025037,1,,,,,,,
1286,1,,,,,,,
2018-0F1-025384,1,,,,,,,
3029,1,,,,,,,
2018-0F1-025874,2,,,,,,,
2829,1,,,,,,,
3132,1,,,,,,,
2018-0F1-027175,1,,,,,,,
