FieldNum,GangRelatedYN,CreatedDate,CreatedTime,CreatedID
17-146-FI,N,20170907,1226,548
17-147-FI,N,20170908,1735,536
17-148-FI,N,20170909,1154,548
17-150-FI,N,20170911,2308,531
17-151-FI,N,20170915,1121,548
17-152-FI,N,20170915,1318,548
17-153-FI,N,20170918,1617,548
17-156-FI,N,20170921,1522,548
17-154-FI,N,20170920,0752,544
17-155-FI,N,20170920,1311,548
17-157-FI,N,20170921,1721,332
17-158-FI,N,20170921,1721,332
17-159-FI,N,20170921,1721,332
17-161-FI,N,20170926,1241,548
17-160-FI,N,20170926,1204,548
17-162-FI,N,20170926,2308,557
17-163-FI,N,20170927,1556,548
17-164-FI,,20170927,1726,332
17-165-FI,,20170927,1726,332
17-166-FI,,20170927,1727,332
17-167-FI,N,20170928,0931,535
17-168-FI,N,20170928,1139,535
17-169-FI,N,20170928,1613,535
17-170-FI,N,20170928,1657,446
17-171-FI,,20170928,1703,400
17-172-FI,N,20170930,1505,548
17-173-FI,N,20171002,1303,535
17-174-FI,N,20171005,1039,507
17-175-FI,N,20171007,1323,544
17-176-FI,N,20171008,1455,544
17-177-FI,N,20171012,1600,281
17-178-FI,N,20171013,1443,548
17-179-FI,N,20171019,1424,389
17-180-FI,N,20171019,2143,531
17-181-FI,N,20171026,0824,535
17-182-FI,Y,20171026,1332,507
17-183-FI,N,20171026,1544,535
17-184-FI,N,20171031,1042,281
17-185-FI,Y,20171031,1143,507
17-186-FI,N,20171101,0854,389
17-187-FI,N,20171101,1505,535
17-188-FI,N,20171102,1111,548
17-189-FI,N,20171102,1521,548
17-190-FI,N,20171102,2341,489
17-191-FI,Y,20171103,2120,531
17-192-FI,,20171110,2203,468
17-196-FI,N,20171116,1305,535
17-193-FI,N,20171112,0859,562
17-194-FI,N,20171112,0936,389
17-195-FI,N,20171115,0950,455
17-198-FI,N,20171117,1234,548
17-199-FI,Y,20171119,1316,535
17-200-FI,N,20171119,1507,548
17-201-FI,N,20171120,1009,544
17-202-FI,N,20171121,1012,544
17-203-FI,N,20171121,1057,535
17-204-FI,N,20171121,1627,535
17-205-FI,N,20171125,1430,535
17-210-FI,Y,20171130,1354,548
17-206-FI,Y,20171127,2312,407
17-207-FI,N,20171129,1413,496
17-208-FI,N,20171129,1509,496
17-209-FI,N,20171129,1525,496
17-211-FI,N,20171203,1651,441
17-212-FI,Y,20171204,1148,496
17-213-FI,N,20171204,1538,496
17-214-FI,N,20171204,1904,446
17-215-FI,N,20171205,1136,496
17-216-FI,N,20171205,1200,496
17-217-FI,N,20171205,1332,416
17-218-FI,N,20171205,1445,496
17-219-FI,,20171205,1945,400
17-220-FI,N,20171206,1045,548
17-221-FI,N,20171206,1102,544
17-222-FI,N,20171206,1216,552
17-223-FI,Y,20171206,1251,548
17-224-FI,N,20171206,1316,456
17-225-FI,N,20171207,1245,328
17-226-FI,N,20171207,1959,389
17-227-FI,N,20171207,2007,389
17-228-FI,N,20171207,2013,348
17-229-FI,N,20171207,2016,372
17-230-FI,N,20171207,2017,348
17-231-FI,N,20171207,2021,334
17-232-FI,N,20171208,0827,544
17-233-FI,N,20171208,1140,461
17-234-FI,N,20171208,1247,509
17-235-FI,N,20171210,1245,463
17-236-FI,N,20171210,1835,415
17-237-FI,N,20171210,1857,503
17-238-FI,N,20171210,2157,316
17-239-FI,N,20171211,1502,496
17-240-FI,Y,20171211,1555,548
17-241-FI,N,20171211,1605,407
17-242-FI,N,20171212,0942,334
17-243-FI,N,20171212,1019,334
17-244-FI,N,20171212,1033,334
17-245-FI,N,20171212,1040,334
17-246-FI,N,20171212,1043,334
17-247-FI,N,20171212,1130,334
17-248-FI,N,20171212,1131,334
17-249-FI,N,20171212,1134,334
17-250-FI,N,20171212,1139,334
17-251-FI,N,20171212,1223,334
17-252-FI,N,20171212,1228,334
17-253-FI,N,20171216,1601,535
17-254-FI,N,20171219,0821,389
17-288-FI,N,20171230,0907,482
17-255-FI,Y,20171222,1223,416
17-256-FI,N,20171222,1233,496
17-257-FI,N,20171222,1308,382
17-258-FI,Y,20171222,1349,446
17-259-FI,Y,20171222,1356,446
17-260-FI,N,20171222,1452,496
17-261-FI,N,20171222,1524,496
17-262-FI,N,20171222,1601,535
17-270-FI,N,20171227,0819,535
17-263-FI,N,20171223,1727,368
17-264-FI,N,20171226,1126,496
17-265-FI,N,20171226,2120,372
17-266-FI,N,20171226,2121,350
17-267-FI,N,20171226,2121,334
17-268-FI,N,20171226,2126,350
17-269-FI,N,20171226,2128,334
17-272-FI,N,20171227,0829,350
17-271-FI,N,20171227,0821,544
17-273-FI,Y,20171227,0941,507
17-274-FI,N,20171227,1154,496
17-275-FI,N,20171227,1205,496
17-276-FI,Y,20171228,0019,415
17-277-FI,N,20171228,1658,446
17-278-FI,N,20171228,2144,405
17-279-FI,N,20171228,2154,350
17-280-FI,N,20171228,2200,334
17-281-FI,N,20171228,2206,380
17-282-FI,N,20171228,2335,503
17-283-FI,N,20171229,0003,503
17-284-FI,N,20171229,0832,334
17-285-FI,N,20171229,1306,496
17-286-FI,N,20171229,1404,416
17-287-FI,N,20171229,1426,496
17-289-FI,N,20171230,1654,347
17-290-FI,N,20171230,1757,544
17-291-FI,Y,20171231,1211,488
18-1-FI,Y,20180112,1041,507
18-2-FI,N,20180117,2331,368
18-3-FI,,20180119,2105,400
18-4-FI,N,20180124,0931,544
18-5-FI,Y,20180126,1436,535
18-6-FI,N,20180130,1526,544
18-7-FI,Y,20180206,2253,441
18-8-FI,N,20180206,2357,441
18-9-FI,Y,20180207,2324,407
18-10-FI,N,20180208,2234,531
18-11-FI,N,20180211,2326,331
18-12-FI,N,20180212,0904,548
18-13-FI,N,20180212,1620,548
18-14-FI,Y,20180216,1412,507
18-15-FI,N,20180217,0812,548
18-16-FI,Y,20180217,1158,548
18-17-FI,Y,20180219,1624,535
18-18-FI,N,20180220,0939,579
18-19-FI,N,20180222,1219,548
18-20-FI,N,20180226,2305,400
18-21-FI,N,20180226,2320,557
18-22-FI,N,20180301,1330,455
18-25-FI,N,20180307,1953,557
18-23-FI,N,20180303,1113,544
18-24-FI,Y,20180304,0850,535
18-26-FI,Y,20180309,0318,503
18-27-FI,N,20180312,1447,389
18-28-FI,N,20180314,0821,548
18-29-FI,Y,20180314,1316,548
18-31-FI,N,20180315,1905,415
18-30-FI,N,20180315,0418,574
18-32-FI,N,20180323,1219,389
18-33-FI,N,20180323,1226,389
18-34-FI,N,20180323,1231,389
18-35-FI,N,20180324,1747,506
18-37-FI,N,20180329,1908,415
18-36-FI,Y,20180329,1000,507
18-38-FI,N,20180330,2009,331
18-39-FI,N,20180330,2346,536
18-40-FI,N,20180331,0923,548
