Year,ActivityDate,Method Received,Classification,Sub-Classification,CaseNumber,Location_Summary,Street Address,Location Detail,City,State,Type of location,OfficerId,Race,Ethnicity,Sex,Age
2016,3/23/16,,FIO,,2016-0F1-007900,"BOSTON (Logan Airport): Checkpoint 1 Terminal A
Delta",BOSTON (Logan Airport): Checkpoint 1 Terminal A,Logan Airport,Boston,MA,Transit,3027,,,,31
2016,3/23/16,Radio,FIO,,2016-0F1-007933,"BOSTON (Logan Airport): Checkpoint 5 Terminal B
U.S. Air Shuttle",BOSTON (Logan Airport): Checkpoint 5 Terminal B,Logan Airport,Boston,MA,Transit,1805,,,,45
2016,3/24/16,Radio,FIO,Homeless Individual(s),2016-0H6-001746,"Pope John Paul II Park, BOSTON, MA
,",,Pope John Paul II Park,Boston,MA,Public,3511,White,,Male,46
2016,3/25/16,Telephone,FIO,Possible Drug Activity,2016-0F1-008164,BOSTON (Logan Airport): Taxi Pool Bldg# 45 1 Tomahawk Drive,BOSTON (Logan Airport): Taxi Pool Bldg# 45 1 Tomahawk Drive,Logan Airport,Boston,MA,Transit,2947,,,,
2016,3/26/16,Code-22,FIO,Homeless Individual(s),2016-0E4-002181,"MASSACHUSETTS AVENUE North,  Mass Ave.
Connector, BOSTON, MA
,",MASSACHUSETTS AVENUE North,,Boston,MA,Public,1135,,,,
2016,3/26/16,Code-22,FIO,Homeless Individual(s),2016-0E4-002181,"MASSACHUSETTS AVENUE North,  Mass Ave.
Connector, BOSTON, MA
,",MASSACHUSETTS AVENUE North,,Boston,MA,Public,2582,,,,
2016,3/26/16,In-person,FIO,Homeless Individual(s),2016-0H4-001940,"BOYLSTON STREET,  @ Bowker Overpass, BOSTON, MA
,",BOYLSTON STREET,Bowker Overpass,Boston,MA,Public,3065,,,,
2016,3/30/16,Telephone,FIO,Possible Drug Activity,2016-0H5-002571,"CALIFORNIA STREET & RUSTIC STREET,  CHARLES RIVER GREENWAY, NEWTON, MA
,",CALIFORNIA STREET & RUSTIC STREET,Charles River Greenway,Newton,MA,Public,3612,,,,
2016,4/2/16,Telephone,FIO,Homeless Individual(s),2016-0F1-009069,"BOSTON (Logan Airport): Terminal C (Main) Terminal
C Walkway to Central Bldg# 36",BOSTON (Logan Airport): Terminal C (Main) Terminal,Logan Airport,Boston,MA,Transit,1852,,,,
2016,4/3/16,FIO,FIO,Homeless Individual(s),2016-0H6-001929,"COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY, BOSTON, MA
,",COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY,,Boston,MA,Public,3511,Black,,Male,47
