Row Labels,Count of CaseNumber,,,,
2020-0H9-002149,3,,,,
2020-0H9-002808,3,,,,
2020-0H9-002816,3,,,,
2020-0H9-005145,3,,,,
2020-0H9-005303,3,,,,
2020-0H9-006917,3,,,,
2020-0H9-009077,3,,,,
2020-0H9-009696,3,,,,
2020-0H9-010420,3,,,,
2020-TK9-001150,3,,,,
2021-0F1-000343,3,,,,
2021-0F1-000496,3,,,,
2021-0F1-000902,3,,,,
2021-0F1-001178,3,,,,
2021-0F1-001498,3,,,,
2021-0F1-001699,3,,,,
2021-0F1-003385,3,,,,
2021-0F1-003982,3,,,,
2021-0F1-004279,3,,,,
2021-0F1-004509,3,,,,
2021-0F1-005588,3,,,,
2021-0F1-007378,3,,,,
2021-0F1-007634,3,,,,
2021-0F1-008462,3,,,,
2021-0F1-008812,3,,,,
2021-0F1-009485,3,,,,
2021-0F1-012471,3,,,,
2021-0F1-012642,3,,,,
2021-0F1-012982,3,,,,
2021-0F1-013036,3,,,,
2021-0F1-013815,3,,,,
2021-0F1-016809,3,,,,
2021-0F1-018562,3,,,,
2021-0F1-018658,3,,,,
2021-0F1-018738,3,,,,
2021-0F1-018922,3,,,,
2021-0F1-019460,3,,,,
2021-0F1-019663,3,,,,
2021-0H1-000057,3,,,,
2021-0H9-001868,3,,,,
2021-0H9-003050,3,,,,
2021-TK9-000643,3,,,,
2016-0A1-003962,2,,,,
2016-0A1-009905,2,,,,
2016-0A6-001744,2,,,,
2016-0B5-001334,2,,,,
2016-0C2-001876,2,,,,
2016-0C6-001010,2,,,,
2016-0D3-002838,2,,,,
2016-0D4-004653,2,,,,
2016-0D4-005313,2,,,,
2016-0D6-000691,2,,,,
2016-0E4-002181,2,,,,
2016-0E4-002930,2,,,,
2016-0E4-004321,2,,,,
2016-0E4-005058,2,,,,
2016-0E4-006330,2,,,,
2016-0E4-006851,2,,,,
2016-0E4-007123,2,,,,
2016-0E4-009949,2,,,,
2016-0E4-009980,2,,,,
2016-0E4-010218,2,,,,
2016-0E4-010929,2,,,,
2016-0F1-007602,2,,,,
2016-0F1-007900,2,,,,
2016-0F1-010120,2,,,,
2016-0F1-013242,2,,,,
2016-0F1-015543,2,,,,
2016-0F1-018857,2,,,,
2016-0F1-035677,2,,,,
2016-0F1-037910,2,,,,
2016-0H3-002430,2,,,,
2016-0H3-003614,2,,,,
2016-0H3-004234,2,,,,
2016-0H3-005998,2,,,,
2016-0H4-000412,2,,,,
2016-0H4-001169,2,,,,
2016-0H4-001769,2,,,,
2016-0H4-002163,2,,,,
2016-0H4-003439,2,,,,
2016-0H4-004255,2,,,,
2016-0H4-004399,2,,,,
2016-0H4-005707,2,,,,
2016-0H4-006121,2,,,,
2016-0H4-007235,2,,,,
2016-0H4-007356,2,,,,
2016-0H5-004606,2,,,,
2016-0H5-004617,2,,,,
2016-0H5-005137,2,,,,
2016-0H5-006229,2,,,,
2016-0H5-007781,2,,,,
2016-0H6-000329,2,,,,
2016-0H6-002006,2,,,,
2016-0H6-002492,2,,,,
2016-0H6-002890,2,,,,
2016-0H6-006396,2,,,,
2016-0H6-007198,2,,,,
2016-0H6-007633,2,,,,
2016-0H7-003547,2,,,,
2016-GEU-000115,2,,,,
2016-GEU-000478,2,,,,
2016-GEU-000993,2,,,,
2016-GEU-001109,2,,,,
2016-GEU-001205,2,,,,
2016-GEU-001490,2,,,,
2016-GEU-001601,2,,,,
2016-TK9-000132,2,,,,
2017-0A1-009880,2,,,,
2017-0A2-007358,2,,,,
2017-0A4-003991,2,,,,
2017-0A5-002073,2,,,,
