Sex,Age,Race,Ethnicity,Location,Date/Time,Source,Search,Outcome,Officer,Badge,Other Officer,Other Badge
MALE,38,WHITE,NOT OF HISPANIC ORIGIN,215 QUINCY AV,8/15/19 9:55,,,,"DOUGAN, MICHAEL",5897,,
FEMALE,49,WHITE,NOT OF HISPANIC ORIGIN,0 MANET AV,8/6/19 22:52,,,,"MENZ, JAMES",5298,,
MALE,46,WHITE,NOT OF HISPANIC ORIGIN,0 FRANKLIN ST,9/1/19 15:00,,,,"MENZ, JAMES",5298,,
MALE,56,WHITE,NOT OF HISPANIC ORIGIN,0 FRANKLIN ST,9/1/19 15:00,,,,"MENZ, JAMES",5298,,
MALE,38,WHITE,UNKNOWN,60 SUMMIT AV,9/17/19 17:55,TRESPASSING,,,"KELLY, ROBERT",2852,,
MALE,35,BLACK,HISPANIC ORIGIN,300 CENTRE ST,9/19/19 15:18,,,,"MENZ, JAMES",5298,,
FEMALE,28,WHITE,UNKNOWN,1 DENNIS F RYAN PRKWY,9/23/19 10:49,GANG FEUD,,,", ",,,
FEMALE,29,WHITE,UNKNOWN,1 DENNIS F RYAN PRKWY,9/23/19 10:49,GANG FEUD,,,", ",,,
FEMALE,30,BLACK,UNKNOWN,1 DENNIS F RYAN PRKWY,9/23/19 10:49,GANG FEUD,,,", ",,,
FEMALE,49,BLACK,UNKNOWN,1 DENNIS F RYAN PRKWY,9/23/19 10:49,GANG FEUD,,,", ",,,
FEMALE,58,BLACK,UNKNOWN,1 DENNIS F RYAN PRKWY,9/23/19 10:49,GANG FEUD,,,", ",,,
FEMALE,63,BLACK,UNKNOWN,1 DENNIS F RYAN PRKWY,9/23/19 10:49,GANG FEUD,,,", ",,,
MALE,26,BLACK,NOT OF HISPANIC ORIGIN,1 DENNIS F RYAN PRKWY,9/23/19 10:49,GANG FEUD,,,", ",,,
MALE,30,BLACK,UNKNOWN,1 DENNIS F RYAN PRKWY,9/23/19 10:49,GANG FEUD,,,", ",,,
MALE,27,WHITE,NOT OF HISPANIC ORIGIN,0 MONTCLAIR AV,7/9/19 2:25,,,,"SORGI, EVAN",7820,,
MALE,18,WHITE,NOT OF HISPANIC ORIGIN,20 RAYMOND ST,8/10/19 0:29,,,,"SWEENEY, ANDREW",4370,,
MALE,40,BLACK,NOT OF HISPANIC ORIGIN,20 RAYMOND ST,8/10/19 0:29,,,,"SWEENEY, ANDREW",4370,,
MALE,39,WHITE,NOT OF HISPANIC ORIGIN,1245 HANCOCK ST,9/24/19 14:12,TRYING TO STEAL BICYCLES,,,"HARTNETT, GREGG",5553,,
MALE,19,WHITE,NOT OF HISPANIC ORIGIN,15 DUNBARTON RD,9/25/19 3:30,,,,", ",,,
MALE,46,WHITE,NOT OF HISPANIC ORIGIN,15 DUNBARTON RD,9/25/19 3:30,,,,", ",,,
MALE,26,WHITE,NOT OF HISPANIC ORIGIN,0 ANDREWS RD,9/27/19 7:47,,,,"KEENAN, DENNIS",9571,,
MALE,33,WHITE,NOT OF HISPANIC ORIGIN,1 SEA ST,10/9/19 12:30,,,,", ",,,
MALE,45,UNKNOWN,UNKNOWN,1 SEA ST,10/9/19 12:30,,,,", ",,,
MALE,24,BLACK,UNKNOWN,0 ROGERS ST,10/5/19 16:30,,,,"MENZ, JAMES",5298,,
MALE,33,WHITE,NOT OF HISPANIC ORIGIN,0 BEALE ST,10/10/19 15:00,,,,"MENZ, JAMES",5298,,
MALE,53,WHITE,UNKNOWN,0 CHAPMAN ST,10/11/19 13:30,,,,"MENZ, JAMES",5298,,
MALE,55,WHITE,NOT OF HISPANIC ORIGIN,38 BROAD ST,10/14/19 17:46,,,,"MENZ, JAMES",5298,,
MALE,27,BLACK,UNKNOWN,98 INTERVALE ST,3/26/19 0:00,,,,"MENZ, JAMES",5298,,
FEMALE,44,BLACK,UNKNOWN,98 INTERVALE ST,9/3/19 0:00,,,,"MENZ, JAMES",5298,,
FEMALE,46,BLACK,UNKNOWN,98 INTERVALE ST,9/3/19 0:00,,,,"MENZ, JAMES",5298,,
MALE,29,WHITE,NOT OF HISPANIC ORIGIN,,10/15/19 21:33,,,,"MENZ, JAMES",5298,,
MALE,25,BLACK,UNKNOWN,80 RODMAN ST,8/1/18 0:00,,,,"MENZ, JAMES",5298,,
MALE,20,BLACK,UNKNOWN,115 FEDERAL AV,10/18/19 0:00,,,,"MENZ, JAMES",5298,,
FEMALE,44,WHITE,,479 SOUTHERN ARTERY,10/25/19 6:33,,,,"FOLAN, PATRICK",6621,,
MALE,53,WHITE,UNKNOWN,5 COTTAGE AV,10/29/19 10:23,,,,"BRANDOLINI, MICHAEL",2847,,
MALE,31,WHITE,NOT OF HISPANIC ORIGIN,65 NEWPORT AV,10/24/19 21:08,,,,"FITZGERALD, SEAN",7777,,
MALE,33,BLACK,HISPANIC ORIGIN,97 PHIPPS ST,10/30/19 6:00,SECRET SERVICE SEARCH WARRANT,,,"MENZ, JAMES",5298,,
MALE,27,BLACK,UNKNOWN,1 SEA ST,10/30/19 10:45,,,,"MENZ, JAMES",5298,,
MALE,33,BLACK,UNKNOWN,12 BRIGANTINE LN,10/31/19 11:07,,,,"MENZ, JAMES",5298,,
MALE,34,WHITE,UNKNOWN,12 BRIGANTINE LN,10/31/19 11:07,,,,"MENZ, JAMES",5298,,
MALE,50,WHITE,NOT OF HISPANIC ORIGIN,130 GRANITE ST,11/8/19 0:00,,,,"MENZ, JAMES",5298,,
MALE,28,BLACK,HISPANIC ORIGIN,819 HANCOCK ST,11/14/19 18:00,,,,"MENZ, JAMES",5298,,
MALE,39,,NOT OF HISPANIC ORIGIN,,2/27/16 0:00,,,,", ",,,
MALE,46,,NOT OF HISPANIC ORIGIN,,2/27/16 0:00,,,,", ",,,
MALE,49,ASIAN/PACIFIC ISLANDER,NOT OF HISPANIC ORIGIN,,2/27/16 0:00,,,,", ",,,
MALE,56,,NOT OF HISPANIC ORIGIN,,2/27/16 0:00,,,,", ",,,
MALE,18,BLACK,UNKNOWN,17 BROCKTON AV,11/26/19 18:58,,,,"GOLDRICK, JAMES",7157,,
MALE,18,WHITE,NOT OF HISPANIC ORIGIN,17 BROCKTON AV,11/26/19 18:58,,,,"GOLDRICK, JAMES",7157,,
MALE,54,WHITE,NOT OF HISPANIC ORIGIN,,12/4/19 0:00,,,,"MENZ, JAMES",5298,,
FEMALE,37,WHITE,NOT OF HISPANIC ORIGIN,9 BLACKWELL ST,12/7/19 22:55,,,,"MENZ, JAMES",5298,,
MALE,68,BLACK,UNKNOWN,9 BLACKWELL ST,12/7/19 22:55,,,,"MENZ, JAMES",5298,,
MALE,39,,NOT OF HISPANIC ORIGIN,166 WASHINGTON ST,12/22/19 10:00,,,,"MENZ, JAMES",5298,,
FEMALE,40,WHITE,NOT OF HISPANIC ORIGIN,65 STEWART ST,12/23/19 0:00,,,,"MENZ, JAMES",5298,,
