interview_number,call_number,date_time_rpt_date,date_time_rpt_time,rpt_date_time_date,rpt_date_time_time,reporting_officer,assisting_officer,location_type,zone,street,city_state,reason,entered,modified,approved
18-2008-FI,18-221391,10/19/2018,1833.0,10/19/2018,1833.0,Officer Lindsay Tagliapietra,,Residence/Home/Apt./Condo,Sector E2 Metro/6Corners,,SPRINGFIELD MA,1   Drug Activity,10/19/2018 @ 1901,10/19/2018 @ 2014,10/19/2018 @ 2016
18-2009-FI,18-221377,10/19/2018,1807.0,10/19/2018,1807.0,Officer Luke Cournoyer,,,,,,,,,
18-2010-FI,18-221529,10/19/2018,2117.0,10/19/2018,2117.0,Officer Lindsay Tagliapietra,,Convenience Store,Sector F1 McKnight/Bay,STATE ST @ ANDREW ST,SPRINGFIELD MA,1   TRAFFIC VIOLATION,10/19/2018 @ 2127,10/19/2018 @ 2136,10/19/2018 @ 2145
18-2011-FI,18-221787,10/20/2018,840.0,10/20/2018,840.0,Officer Joel-Bernard Stern,,Residence/Home/Apt./Condo,Sector E1 Metro/South End,,SPRINGFIELD MA,1   FOUND AMMUNITION AND PISTOL MAGAZINE,10/20/2018 @ 0918,10/20/2018 @ 0930,10/20/2018 @ 1007
18-2012-FI,18-221819,10/20/2018,953.0,10/20/2018,953.0,Officer Jose Silva,,Highway/Road/Alley/Street,Sector A N. End/Memorial,MAIN ST @ CHURCH ST,SPRINGFIELD MA,1   Police Information,10/20/2018 @ 1005,10/20/2018 @ 1027,10/20/2018 @ 1035
18-2013-FI,18-221921,10/20/2018,1303.0,10/20/2018,1303.0,Officer Joel-Bernard Stern,,Drug Store/Doctor's Office/,Sector E1 Metro/South End,SUNRISE CLINIC,SPRINGFIELD MA,1   FOUND NEWER SNOW BLOWER,10/20/2018 @ 1329,10/20/2018 @ 1350,10/20/2018 @ 1414
18-2014-FI,18-222023,10/20/2018,1628.0,10/20/2018,1628.0,Officer Charles Scheehser,Officer Igor Basovskiy,Highway/Road/Alley/Street,Sector F2 Old&Upper Hill,HANCOCK ST @ MONROE ST,SPRINGFIELD MA,1   Gang Activity,10/20/2018 @ 1723,10/21/2018 @ 1700,10/21/2018 @ 1701
18-2015-FI,18-222056,10/20/2018,1726.0,10/20/2018,1726.0,Officer Derek Aviles,Officer Igor Basovskiy,Residence/Home/Apt./Condo,Sector G2 P.P./Boston Rd.,,SPRINGFIELD MA,1   Gang Activity - KNOX,10/20/2018 @ 1821,10/20/2018 @ 1853,10/20/2018 @ 1920
18-2016-FI,18-222114,10/20/2018,1847.0,10/20/2018,1847.0,Officer Michael Chapin,,Residence/Home/Apt./Condo,Sector E1 Metro/South End,,SPRINGFIELD MA 01105,1   Drug Activity,10/20/2018 @ 1905,10/20/2018 @ 1914,10/20/2018 @ 1947
18-2017-FI,18-222232,10/20/2018,2100.0,10/20/2018,2100.0,Officer David Ninh,,Highway/Road/Alley/Street,Sector H1 Forest Park,,SPRINGFIELD MA,1   Suspicious Person,10/20/2018 @ 2103,10/20/2018 @ 2118,10/20/2018 @ 2219
18-2018-FI,18-222231,10/20/2018,2059.0,10/20/2018,2059.0,Officer Luke Cournoyer,Officer Carla Daniele,Residence/Home/Apt./Condo,Sector F1 McKnight/Bay,ON THE FRONT STOOP OF,SPRINGFIELD MA,1   Gang Activity/SUSPICIOUS PERSONS,,,
18-2019-FI,18-222254,10/20/2018,2126.0,10/20/2018,2126.0,Officer Charles Scheehser,Officer John Ruyffelaert,Other/Unknown,Sector F2 Old&Upper Hill,INDIAN MOTORCYCLE BLDG,SPRINGFIELD MA,1   Police Information/ GANG MEMBER,10/20/2018 @ 2151,10/20/2018 @ 2200,10/21/2018 @ 1650
18-2020-FI,18-222717,10/20/2018,2250.0,10/20/2018,2250.0,Officer Charles Scheehser,Officer John Ruyffelaert,Other/Unknown,Sector F2 Old&Upper Hill,MR SPARKLE CAR WASHES III INC,SPRINGFIELD MA,1   Police Information/ GANG MEMBERS,10/21/2018 @ 1825,10/21/2018 @ 1851,10/21/2018 @ 1917
18-2021-FI,18-222935,10/22/2018,206.0,10/22/2018,206.0,Officer Seth Barker,Officer Joseph Levesque,Residence/Home/Apt./Condo,Sector H2 Forest Park/EFP,,SPRINGFIELD MA,1   Police Information,10/22/2018 @ 0525,10/22/2018 @ 0544,10/22/2018 @ 0553
18-2023-FI,18-223566,10/22/2018,2149.0,10/22/2018,2149.0,Officer Joel Lopez,Officer Charles Scheehser,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,,SPRINGFIELD MA,1   Gang Activity/ POLICE INFORMATION,10/22/2018 @ 2307,10/22/2018 @ 2314,10/26/2018 @ 2232
18-2024-FI,18-223641,10/23/2018,110.0,10/23/2018,110.0,Officer Michael Rodriguez,Officer Spencer O'Quinn,Other/Unknown,Sector B1 Liberty Heights,LIBERTY PLAZA,SPRINGFIELD MA,1   Suspicious Vehicle,10/23/2018 @ 0117,10/23/2018 @ 0135,10/23/2018 @ 0147
18-2025-FI,18-223664,10/23/2018,153.0,10/23/2018,153.0,Officer Jeffrey Bienvenue,Officer Darren Nguyen,Convenience Store,Sector H2 Forest Park/EFP,,SPRINGFIELD MA,1   Suspicious Person,10/23/2018 @ 0158,10/23/2018 @ 0207,10/23/2018 @ 0316
18-2026-FI,18-223774,10/23/2018,846.0,10/23/2018,846.0,Officer Manuel Ayala,Officer Roberto Flores,,,,,,,,
18-2027-FI,18-224121,10/23/2018,1648.0,10/23/2018,1648.0,Officer Juan Taveras,Officer Donnievan Figueroa,Highway/Road/Alley/Street,Sector A N. End/Memorial,EL MANGO SUPERMARKET,SPRINGFIELD MA,1   Suspicious Activity,10/23/2018 @ 1713,10/23/2018 @ 1800,10/23/2018 @ 1813
18-2028-FI,18-224130,10/23/2018,1701.0,10/23/2018,1701.0,Officer Charles Scheehser,Officer Joel Lopez,Other/Unknown,Sector F1 McKnight/Bay,BERGEN CIRCLE APARTMENTS,,1   Drug Activity,,,
18-2029-FI,18-224193,10/23/2018,1824.0,10/23/2018,1824.0,Officer Lindsay Tagliapietra,Sergeant William Catellier,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,,,1   Suspicious Activity,10/23/2018 @ 1834,10/23/2018 @ 1843,10/23/2018 @ 1855
18-2030-FI,18-224196,10/23/2018,1828.0,10/23/2018,1828.0,Officer Colin Cochrane,Officer Gregory Vatrano,Other/Unknown,Sector H3 Forest Park/EFP,FRONT PORCH OF,SPRINGFIELD MA,1   Gang Activity,10/23/2018 @ 1831,10/23/2018 @ 1853,10/23/2018 @ 1907
18-2031-FI,18-224270,10/23/2018,2028.0,10/23/2018,2028.0,Sergeant Daniel Johnson,Officer Gregory Vatrano,Service/Gas Station,Sector E1 Metro/South End,SUNOCO,SPRINGFIELD MA,1   TRESPASS NOTICE,10/23/2018 @ 2033,10/23/2018 @ 2042,10/23/2018 @ 2047
18-2032-FI,18-224289,10/23/2018,2056.0,10/23/2018,2056.0,Officer Juan Taveras,Officer Donnievan Figueroa,Commercial/Office Building,Sector A N. End/Memorial,IN THE REAR,SPRINGFIELD MA,1   Suspicious Person,10/23/2018 @ 2100,10/23/2018 @ 2120,10/23/2018 @ 2126
18-2033-FI,18-224313,10/23/2018,2130.0,10/23/2018,2130.0,Officer Juan Taveras,Officer Donnievan Figueroa,Service/Gas Station,Sector A N. End/Memorial,J & J MOBIL SERVICE,SPRINGFIELD MA,1   Suspicious Activity,10/23/2018 @ 2141,10/23/2018 @ 2200,10/23/2018 @ 2211
18-2034-FI,18-224704,10/24/2018,1230.0,10/24/2018,1230.0,Officer Carla Daniele,Sergeant Brian Elliott,Other/Unknown,Sector E2 Metro/6Corners,INSIDE 90.7 WCCC RADIO STUDIO,SPRINGFIELD MA,1   SUBPONEA SERVICE/COMM. V. THERRIEN,10/24/2018 @ 1402,10/24/2018 @ 1608,10/24/2018 @ 1633
18-2035-FI,18-224665,10/24/2018,1129.0,10/24/2018,1129.0,Officer Chad Joseph,,Residence/Home/Apt./Condo,Sector E1 Metro/South End,,SPRINGFIELD MA,1   Police Information,10/24/2018 @ 1401,10/24/2018 @ 1409,10/24/2018 @ 1421
18-2036-FI,18-224871,10/24/2018,1711.0,10/24/2018,1711.0,Officer Colin Cochrane,Sergeant Daniel Johnson,Highway/Road/Alley/Street,Sector H1 Forest Park,,SPRINGFIELD MA,1   Drug Activity,10/24/2018 @ 1714,10/24/2018 @ 1727,10/24/2018 @ 1757
18-2037-FI,18-224920,10/24/2018,1818.0,10/24/2018,1818.0,Officer Lindsay Tagliapietra,Sergeant William Catellier,Highway/Road/Alley/Street,Sector E1 Metro/South End,,SPRINGFIELD MA,1   Drug Activity,10/24/2018 @ 1822,10/24/2018 @ 1844,10/24/2018 @ 1847
18-2038-FI,18-224944,10/24/2018,1845.0,10/24/2018,1845.0,Officer David Ninh,,Convenience Store,Sector H1 Forest Park,KEITH ST @ DICKINSON ST,SPRINGFIELD MA,1   Suspicious Person/GANG RELATED,10/24/2018 @ 1855,10/24/2018 @ 1914,10/24/2018 @ 1928
18-2039-FI,18-225052,10/24/2018,2142.0,10/24/2018,2142.0,Officer Colin Cochrane,Sergeant Daniel Johnson,Highway/Road/Alley/Street,Sector H1 Forest Park,,SPRINGFIELD MA,1   Gang Activity,10/24/2018 @ 2145,10/24/2018 @ 2153,10/24/2018 @ 2214
18-2040-FI,18-225573,10/25/2018,1344.0,10/25/2018,1344.0,Officer Chad Joseph,,Residence/Home/Apt./Condo,Sector H2 Forest Park/EFP,,SPRINGFIELD MA,1   Suspicious Activity,10/25/2018 @ 1410,10/25/2018 @ 1417,10/25/2018 @ 1422
18-2041-FI,18-225622,10/25/2018,1438.0,10/25/2018,1438.0,Officer Manuel Ayala,,Highway/Road/Alley/Street,Sector A N. End/Memorial,,SPRINGFIELD MA,1   Suspicious Person,10/25/2018 @ 1452,10/25/2018 @ 1516,10/25/2018 @ 1519
18-2042-FI,18-225696,10/25/2018,1652.0,10/25/2018,1652.0,Officer David Ninh,Officer Dads Dominque,Highway/Road/Alley/Street,Sector H1 Forest Park,,SPRINGFIELD MA,1   Suspicious Person/PANHANDLING,10/25/2018 @ 1654,10/25/2018 @ 1659,10/25/2018 @ 1704
18-2043-FI,18-225927,10/25/2018,2124.0,10/25/2018,2124.0,Officer Tyshawn Gorham,Officer Igor Basovskiy,School-Elementary/Secondary,Sector F1 McKnight/Bay,,SPRINGFIELD MA,1   Suspicious Person/ SHOT SPOTTER ACTIVATION,10/25/2018 @ 2213,11/23/2018 @ 1846,11/23/2018 @ 1939
18-2044-FI,18-225944,10/25/2018,2158.0,10/25/2018,2158.0,Officer Anthony Sowers,Officer Maciej Jasinski,Residence/Home/Apt./Condo,Sector E2 Metro/6Corners,,SPRINGFIELD MA,1   Police Information,10/25/2018 @ 2205,10/25/2018 @ 2209,10/25/2018 @ 2218
18-2045-FI,18-225948,10/25/2018,2100.0,10/25/2018,2105.0,Sergeant Daniel Johnson,Officer Colin Cochrane,Residence/Home/Apt./Condo,Sector H3 Forest Park/EFP,,SPRINGFIELD MA,1   Suspicious Vehicle,10/25/2018 @ 2240,10/25/2018 @ 2256,10/25/2018 @ 2307
18-2046-FI,18-226473,10/26/2018,1342.0,10/26/2018,1342.0,Officer Jose Silva,,Other/Unknown,Sector A N. End/Memorial,MICHAELSON LOUIS & SONS INC APPLES,SPRINGFIELD MA,1   Police Information,10/26/2018 @ 1355,10/26/2018 @ 1416,10/26/2018 @ 1426
18-2047-FI,18-226704,10/26/2018,1906.0,10/26/2018,1906.0,Officer Donnievan Figueroa,Officer Robert Gayle,Residence/Home/Apt./Condo,Sector A N. End/Memorial,,SPRINGFIELD MA,1   Suspicious Activity,10/26/2018 @ 1955,10/26/2018 @ 2206,10/26/2018 @ 2212
18-2048-FI,18-226723,10/26/2018,1922.0,10/26/2018,1922.0,Officer Donnievan Figueroa,Officer Robert Gayle,Drug Store/Doctor's Office/,Sector B1 Liberty Heights,WALGREENS,SPRINGFIELD MA,1   Suspicious Activity,10/26/2018 @ 1927,10/26/2018 @ 1951,10/26/2018 @ 2025
18-2049-FI,18-226813,10/26/2018,2110.0,10/26/2018,2110.0,Officer Derek Aviles,Officer Igor Basovskiy,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,,SPRINGFIELD MA,1   Gang Activity,10/26/2018 @ 2117,10/26/2018 @ 2142,10/26/2018 @ 2157
18-2050-FI,18-226853,10/26/2018,1930.0,10/26/2018,1930.0,Officer Lindsay Tagliapietra,Sergeant William Catellier,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,SPRING ST @ PEARL ST,SPRINGFIELD MA,1   Drug Activity,10/26/2018 @ 2204,10/26/2018 @ 2214,10/26/2018 @ 2220
18-2051-FI,18-227323,10/27/2018,1635.0,10/27/2018,1635.0,Officer Juan Taveras,,Residence/Home/Apt./Condo,Sector A N. End/Memorial,,,1   Suspicious Person,10/27/2018 @ 1644,10/27/2018 @ 1703,10/27/2018 @ 1706
18-2052-FI,18-227327,10/27/2018,1643.0,10/27/2018,1643.0,Officer Lindsay Tagliapietra,Sergeant William Catellier,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,SCHOOL ST @ HIGH ST,SPRINGFIELD MA,1   Suspicious Person,10/27/2018 @ 1645,10/27/2018 @ 1648,10/27/2018 @ 1705
18-2053-FI,18-227346,10/27/2018,1720.0,10/27/2018,1720.0,Officer Lindsay Tagliapietra,Sergeant William Catellier,Parking Lot/Garage,Sector E2 Metro/6Corners,MYRTLE ST @ HIGH ST,SPRINGFIELD MA,1   Suspicious Activity,10/27/2018 @ 1723,10/27/2018 @ 1727,10/27/2018 @ 1829
18-2054-FI,18-227534,10/27/2018,2122.0,10/27/2018,2122.0,Officer Gregory Vatrano,Officer Dads Dominque,Highway/Road/Alley/Street,Sector H2 Forest Park/EFP,ISLAND POND RD @ OVERLOOK DR,SPRINGFIELD MA,1   Suspicious Person,10/27/2018 @ 2124,10/27/2018 @ 2140,10/27/2018 @ 2246
18-2055-FI,18-227543,10/27/2018,2132.0,10/27/2018,2132.0,Officer Siervo Jimenez,Officer Nelson Milano,Highway/Road/Alley/Street,Sector H1 Forest Park,,SPRINGFIELD MA,1   Police Information,10/27/2018 @ 2153,10/27/2018 @ 2204,10/27/2018 @ 2234
18-2056-FI,18-227892,10/28/2018,1207.0,10/28/2018,1207.0,Officer Jose Silva,Officer Manuel Ayala,,,,,,,,
18-2057-FI,18-228001,10/28/2018,1559.0,10/28/2018,1559.0,Officer Arjel Falcon,Officer Ronald Kenniston,Highway/Road/Alley/Street,Sector E1 Metro/South End,UNION ST @ E COLUMBUS AVE,,1   Suspicious Person (PANHANDLING),10/28/2018 @ 1604,10/28/2018 @ 1610,10/28/2018 @ 1616
18-2058-FI,18-228019,10/28/2018,1647.0,10/28/2018,1647.0,Officer Igor Basovskiy,Officer Derek Aviles,Highway/Road/Alley/Street,Sector F2 Old&Upper Hill,HOMER ST @ STATE ST,SPRINGFIELD MA,1   Gang Activity/SYCAMORE,10/28/2018 @ 1707,10/28/2018 @ 1717,10/28/2018 @ 1727
18-2059-FI,18-228032,10/28/2018,1705.0,10/28/2018,1705.0,Officer Marcos Hernandez,Officer Donnievan Figueroa,Commercial/Office Building,Sector A N. End/Memorial,CHRISTOPHER'S PACKAGE STORE,SPRINGFIELD MA,1   Suspicious Activity,10/28/2018 @ 1753,10/28/2018 @ 1810,10/28/2018 @ 1814
18-2060-FI,18-228047,10/28/2018,1729.0,10/28/2018,1729.0,Officer Gregory Vatrano,Sergeant Daniel Johnson,Church/Synagogue/Temple,Sector H1 Forest Park,CONGREGATION B'NAI TORAH,SPRINGFIELD MA,1   Police Information / POSSIBLE PSYCH INDIVIDUAL,10/28/2018 @ 1823,10/28/2018 @ 1850,10/28/2018 @ 1941
18-2061-FI,18-228162,10/28/2018,2047.0,10/28/2018,2047.0,Officer Andrew Normand,Sergeant Jacob Werbicki,Highway/Road/Alley/Street,Sector F2 Old&Upper Hill,,,1   Gang Activity,10/28/2018 @ 2143,10/28/2018 @ 2152,10/28/2018 @ 2157
18-2062-FI,18-228270,10/29/2018,35.0,10/29/2018,35.0,Officer Jeffrey Bienvenue,Officer Darren Nguyen,Highway/Road/Alley/Street,Sector H3 Forest Park/EFP,SUMNER AVE @ POWELL AVE,SPRINGFIELD MA,1   Suspicious Person,10/29/2018 @ 0040,10/29/2018 @ 0055,10/29/2018 @ 0151
18-2063-FI,18-228607,10/29/2018,1220.0,10/29/2018,1220.0,Officer Manuel Ayala,Officer Jose Silva,Highway/Road/Alley/Street,Sector B1 Liberty Heights,MONTMORENCI ST @ MASSASOIT ST,SPRINGFIELD MA,1   Suspicious Activity,,,
18-2064-FI,18-228763,10/29/2018,1621.0,10/29/2018,1621.0,Officer Derek Aviles,Officer Igor Basovskiy,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,,SPRINGFIELD MA,1   Gang Activity/EASTERN AVE,10/29/2018 @ 1655,10/29/2018 @ 1738,10/29/2018 @ 1826
18-2065-FI,18-228853,10/29/2018,1827.0,10/29/2018,1827.0,Officer Juan Taveras,Officer Marcos Hernandez,Highway/Road/Alley/Street,Sector A N. End/Memorial,MAIN ST @ GREENWICH ST,SPRINGFIELD MA,1   Suspicious Activity,10/29/2018 @ 2011,10/29/2018 @ 2026,10/29/2018 @ 2102
18-2066-FI,18-229038,10/29/2018,2206.0,10/29/2018,2206.0,Sergeant Daniel Johnson,Officer Gregory Vatrano,Highway/Road/Alley/Street,Sector E1 Metro/South End,,SPRINGFIELD MA,1   PANHANDLING,10/29/2018 @ 2212,10/29/2018 @ 2216,10/29/2018 @ 2254
18-2067-FI,18-229034,10/29/2018,2200.0,10/29/2018,2200.0,Officer Richard McNabb,Officer Elizer Vasquez,Highway/Road/Alley/Street,Sector E1 Metro/South End,MAIN ST @ HOWARD ST,SPRINGFIELD MA,1   Police Information,10/29/2018 @ 2326,10/29/2018 @ 2334,10/30/2018 @ 0029
18-2068-FI,18-229113,10/30/2018,103.0,10/30/2018,103.0,Officer Raymond Mateo,Officer Edwin Irizary,Highway/Road/Alley/Street,Sector E1 Metro/South End,FREMONT ST @ MAIN ST,,1   Suspicious Person,10/30/2018 @ 0126,10/30/2018 @ 0237,10/30/2018 @ 0445
18-2069-FI,18-229664,10/30/2018,1622.0,10/30/2018,1622.0,Officer Dads Dominque,Sergeant Daniel Johnson,,,,,,,,
18-2071-FI,18-229930,10/30/2018,2055.0,10/30/2018,2055.0,Officer Anthony DiSantis,Officer Carla Daniele,Park/Playground,Sector E1 Metro/South End,COURT SQUARE PARK,SPRINGFIELD MA,1   Suspicious Activity,10/30/2018 @ 2105,10/30/2018 @ 2127,10/30/2018 @ 2140
18-2072-FI,18-230452,10/31/2018,1248.0,10/31/2018,1248.0,Officer Manuel Ayala,,Residence/Home/Apt./Condo,Sector A N. End/Memorial,LOBBY,SPRINGFIELD MA,1   Police Information/TRESPASS,10/31/2018 @ 1347,10/31/2018 @ 1359,10/31/2018 @ 1516
18-2073-FI,18-230485,10/31/2018,1331.0,10/31/2018,1331.0,Officer Chad Joseph,,Residence/Home/Apt./Condo,Sector H1 Forest Park,,SPRINGFIELD MA,1   Suspicious Activity,10/31/2018 @ 1352,10/31/2018 @ 1409,10/31/2018 @ 1515
18-2074-FI,18-230502,10/31/2018,1352.0,10/31/2018,1352.0,Officer Carla Daniele,Officer Michael Goggin,Air/Bus/Train Terminal,Sector E1 Metro/South End,REAR OLD BUS STATION/NEAR PETER PAN TERMINAL,SPRINGFIELD MA,1    DOMESTIC INCIDENT CFS,10/31/2018 @ 1626,10/31/2018 @ 1800,10/31/2018 @ 1809
18-2075-FI,18-230414,10/31/2018,1208.0,10/31/2018,1208.0,Officer Michael Goggin,,Convenience Store,Sector E1 Metro/South End,FAMILY DOLLAR STORE SOUTH END,SPRINGFIELD MA,1   POSSIBLE SEXUAL ASSAULT-UNFOUNDED,10/31/2018 @ 1456,10/31/2018 @ 1512,10/31/2018 @ 1514
18-2076-FI,18-230619,10/31/2018,1710.0,10/31/2018,1710.0,Officer Lindsay Tagliapietra,,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,MATTOON ST @ CHESTNUT ST,SPRINGFIELD MA,1   Drug Activity,10/31/2018 @ 1716,10/31/2018 @ 1723,10/31/2018 @ 1754
18-2077-FI,18-230624,10/31/2018,1717.0,10/31/2018,1717.0,Officer Elizer Vasquez,Officer Lino Carrasquillo,Highway/Road/Alley/Street,Sector E1 Metro/South End,DWIGHT ST @ STATE ST,SPRINGFIELD MA,1   PAN HANDLER,10/31/2018 @ 1738,10/31/2018 @ 1751,10/31/2018 @ 1756
18-2078-FI,18-230684,10/31/2018,1814.0,10/31/2018,1814.0,Officer Lindsay Tagliapietra,,Highway/Road/Alley/Street,Sector E1 Metro/South End,,,1   Drug Activity,10/31/2018 @ 1819,10/31/2018 @ 1824,10/31/2018 @ 1848
18-2079-FI,18-230817,10/31/2018,2032.0,10/31/2018,2032.0,Officer Lindsay Tagliapietra,Officer John Barlow,Other/Unknown,Sector E2 Metro/6Corners,ACROSS STREET,SPRINGFIELD MA,1   Suspicious Vehicle,10/31/2018 @ 2101,10/31/2018 @ 2109,10/31/2018 @ 2117
18-2080-FI,18-231501,11/01/2018,1641.0,11/01/2018,1641.0,Officer Gregory Vatrano,,Highway/Road/Alley/Street,Sector H1 Forest Park,SIDE OF,SPRINGFIELD MA,1   Suspicious Person / LOITERING,11/01/2018 @ 1649,11/01/2018 @ 1656,11/01/2018 @ 1717
18-2081-FI,18-231506,11/01/2018,1649.0,11/01/2018,1649.0,Officer David Ninh,,Highway/Road/Alley/Street,Sector H1 Forest Park,SUMNER AVE @ LENOX ST,SPRINGFIELD MA,1   Suspicious Person/ PANHANLDER,11/01/2018 @ 1654,11/01/2018 @ 1705,11/01/2018 @ 1716
18-2082-FI,18-231556,11/01/2018,1803.0,11/01/2018,1803.0,Officer Anthony Sowers,,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,MATTOON ST @ CHESTNUT ST,SPRINGFIELD MA,1   Police Information,11/01/2018 @ 2054,11/01/2018 @ 2057,11/01/2018 @ 2123
18-2083-FI,18-231694,11/01/2018,2024.0,11/01/2018,2024.0,Officer Kelley Diederich,Officer Christopher Bates,Highway/Road/Alley/Street,Sector E1 Metro/South End,MAIN ST @ WILLIAM ST,SPRINGFIELD MA,1   Police Information,,,
18-2084-FI,18-231899,11/02/2018,302.0,11/02/2018,302.0,Officer Sian Simpson,Sergeant Anthony Cicero,Highway/Road/Alley/Street,Sector H3 Forest Park/EFP,,,1   Suspicious Person,11/02/2018 @ 0325,11/02/2018 @ 0345,11/02/2018 @ 0438
18-2085-FI,18-231939,11/02/2018,522.0,11/02/2018,522.0,Officer Eric Blair,,Highway/Road/Alley/Street,Sector E1 Metro/South End,CHESTNUT ST @ FRANK B MURRAY ST,SPRINGFIELD MA,1   Traffic Post,11/02/2018 @ 0547,11/02/2018 @ 0646,11/03/2018 @ 0331
18-2086-FI,18-232222,11/02/2018,1240.0,11/02/2018,1240.0,Officer Joel-Bernard Stern,Officer Joshua Dufrane,Service/Gas Station,Sector E1 Metro/South End,SUNOCO GAS STATION,SPRINGFIELD MA,1   Drug Activity--MARIJUANA WHILE OPERATING A MV,11/02/2018 @ 1246,11/02/2018 @ 1257,11/02/2018 @ 1344
18-2087-FI,18-232382,11/02/2018,1708.0,11/02/2018,1708.0,Sergeant Devon Williams,Officer Charles Scheehser,Hotel/Motel/Temp. Lodgings,Sector F2 Old&Upper Hill,EASTERN AVE @ COLCHESTER ST,,1   Police Information/ GANG MEMBER,11/02/2018 @ 1732,11/02/2018 @ 2003,11/02/2018 @ 2007
18-2088-FI,18-232426,11/02/2018,1758.0,11/02/2018,1758.0,Sergeant William Catellier,Officer John Barlow,Parking Lot/Garage,Sector E2 Metro/6Corners,ACROSS FROM 5TH ALARM,SPRINGFIELD MA,1   Drug Activity,11/02/2018 @ 1828,11/02/2018 @ 1833,11/02/2018 @ 1844
18-2089-FI,18-232698,11/02/2018,2211.0,11/02/2018,2211.0,Officer Gregory Vatrano,Officer Dads Dominque,Liquor Store,Sector H1 Forest Park,SOUTH END PACKAGE STORE,SPRINGFIELD MA,1   Suspicious Person / LOITERING,11/02/2018 @ 2216,11/02/2018 @ 2234,11/02/2018 @ 2315
18-2090-FI,18-232961,11/03/2018,901.0,11/03/2018,901.0,Officer Jose Silva,,Highway/Road/Alley/Street,Sector A N. End/Memorial,MAIN ST @ CALHOUN ST,SPRINGFIELD MA,1   Police Information,11/03/2018 @ 0907,11/03/2018 @ 0925,11/03/2018 @ 0951
18-2091-FI,18-233141,11/03/2018,1329.0,11/03/2018,1329.0,Officer Jose Silva,,Department/Discount Store,Sector A N. End/Memorial,FAMILY DOLLAR,SPRINGFIELD MA,1   Police Information,11/03/2018 @ 1403,11/03/2018 @ 1423,11/03/2018 @ 1432
18-2092-FI,18-233253,11/03/2018,1653.0,11/03/2018,1653.0,Lieutenant John Zollo,,,,,,,,,
18-2093-FI,18-233304,11/03/2018,1815.0,11/03/2018,1815.0,Officer John Ruyffelaert,Officer Charles Scheehser,,,,,,,,
18-2094-FI,18-233473,11/03/2018,1820.0,11/03/2018,1830.0,Officer Colin Cochrane,Officer Gregory Vatrano,Residence/Home/Apt./Condo,Sector H1 Forest Park,FRONT PORCH,SPRINGFIELD MA,1   Drug Activity,11/03/2018 @ 2226,11/03/2018 @ 2241,11/03/2018 @ 2303
18-2095-FI,18-233444,11/03/2018,2127.0,11/03/2018,2127.0,Officer Christopher Duff,Officer Kelley Diederich,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,FLORENCE ST @ CENTRAL ST,SPRINGFIELD MA,1   Police Information (GANG MEMBER),11/03/2018 @ 2329,11/03/2018 @ 2344,11/04/2018 @ 0046
18-2096-FI,18-234053,11/04/2018,1831.0,11/04/2018,1831.0,Officer Gregory Vatrano,Officer Colin Cochrane,Highway/Road/Alley/Street,Sector H2 Forest Park/EFP,SORRENTO ST @ ALDERMAN ST,SPRINGFIELD MA,1   Suspicious Vehicle,11/04/2018 @ 1835,11/04/2018 @ 1851,11/04/2018 @ 1909
18-2097-FI,18-234150,11/04/2018,2059.0,11/04/2018,2059.0,Officer Juan Taveras,Officer Donnievan Figueroa,Other/Unknown,Sector A N. End/Memorial,CHRISTOPHERS,,1   Suspicious Activity,11/04/2018 @ 2119,11/04/2018 @ 2147,11/04/2018 @ 2152
18-2098-FI,18-234554,11/05/2018,1204.0,11/05/2018,1204.0,Officer Manuel Ayala,,Residence/Home/Apt./Condo,Sector A N. End/Memorial,,SPRINGFIELD MA,1   Suspicious Activity/LOITERING/TRESPASS,11/05/2018 @ 1230,11/05/2018 @ 1306,11/05/2018 @ 1313
18-2099-FI,18-234658,11/05/2018,1432.0,11/05/2018,1432.0,Officer Chad Joseph,,Residence/Home/Apt./Condo,Sector H3 Forest Park/EFP,,,1   Police Information,11/05/2018 @ 1506,11/05/2018 @ 1526,11/05/2018 @ 1530
18-2100-FI,18-234720,11/05/2018,1641.0,11/05/2018,1641.0,Officer Marcos Hernandez,Officer Robert Gayle,Highway/Road/Alley/Street,Sector A N. End/Memorial,MAIN ST @ CAREW ST,SPRINGFIELD MA,1   Suspicious Activity,11/05/2018 @ 1659,11/05/2018 @ 1720,11/05/2018 @ 1734
18-2101-FI,18-234834,11/05/2018,1845.0,11/05/2018,1845.0,Officer Colin Cochrane,Sergeant Eric Podgurski,Highway/Road/Alley/Street,Sector H1 Forest Park,,SPRINGFIELD MA,1   Police Information,11/05/2018 @ 1852,11/05/2018 @ 1909,11/05/2018 @ 1947
