IncidentNum,Age,Sex,Race,Ethnicity,CreatedID,ModifiedDate
16-71-FI,22,M,B,N,415,20160927
16-71-FI,30,M,B,N,415,20160927
16-71-FI,35,M,B,N,415,20160927
16-71-FI,37,M,B,N,415,20160927
16-71-FI,36,M,B,N,415,20160927
16-71-FI,32,M,B,N,415,20160927
16-71-FI,36,M,B,N,415,20160927
16-73-FI,24,M,B,N,548,20161001
16-73-FI,30,F,W,N,548,20161001
16-75-FI,24,M,B,N,548,20161005
16-74-FI,32,M,W,N,483,20161002
16-76-FI,19,M,W,N,548,20161005
16-76-FI,20,F,W,N,548,20161005
16-77-FI,15,M,B,N,415,20161015
16-77-FI,15,M,W,N,415,20180517
16-77-FI,16,M,B,N,415,20161015
16-77-FI,18,M,B,N,415,20161015
16-78-FI,38,M,B,N,389,20161020
16-79-FI,24,M,B,N,548,20161020
16-79-FI,42,F,B,N,548,20161020
16-79-FI,37,M,B,N,548,20180618
16-79-FI,22,F,B,N,548,20180618
16-80-FI,27,M,B,N,548,20161020
16-80-FI,24,M,B,N,548,20161020
16-81-FI,24,M,B,N,415,20161023
16-81-FI,24,M,B,N,415,20161023
16-81-FI,29,M,B,N,415,20161023
16-82-FI,19,F,B,H,535,20190328
16-82-FI,17,M,B,H,535,20200305
16-82-FI,19,M,B,N,535,20190327
16-88-FI,36,F,B,N,548,20161030
16-88-FI,19,M,B,N,548,20161030
16-83-FI,21,M,B,N,415,20161023
16-83-FI,20,M,B,N,415,20161023
16-83-FI,24,M,B,N,415,20161023
16-84-FI,25,F,W,N,446,20161024
16-84-FI,25,F,W,N,446,20161024
16-85-FI,28,M,B,N,535,20161026
16-85-FI,20,M,B,N,535,20161026
16-85-FI,48,F,B,N,535,20161026
16-86-FI,32,M,W,N,535,20161028
16-86-FI,53,M,W,N,535,20161028
16-86-FI,24,F,W,N,535,20161028
16-86-FI,52,F,W,N,535,20161028
16-86-FI,21,F,B,N,535,20161028
16-86-FI,30,M,W,N,535,20180506
16-86-FI,00,U,U,N,535,20161112
16-86-FI,61,M,W,N,535,20161118
16-86-FI,24,F,U,U,535,20161127
16-86-FI,64,F,W,N,535,20161127
16-86-FI,45,F,W,N,535,20161127
16-86-FI,41,M,B,N,535,20170118
16-87-FI,25,M,B,N,503,20161030
16-87-FI,24,F,B,N,503,20161030
16-89-FI,23,M,B,N,507,20170705
16-89-FI,20,M,B,N,507,20161102
16-89-FI,22,M,B,N,507,20161102
16-89-FI,00,U,U,U,507,20161102
16-92-FI,21,M,W,H,536,20161111
16-92-FI,32,M,B,N,536,20161111
16-92-FI,23,M,B,N,536,20170312
16-92-FI,27,M,B,N,536,20161111
16-92-FI,23,F,B,N,536,20161111
16-91-FI,19,M,B,N,415,20161110
16-93-FI,24,F,W,N,562,20161116
16-93-FI,45,M,W,N,562,20161116
16-94-FI,46,M,W,H,562,20161116
16-94-FI,50,M,W,N,562,20161116
16-94-FI,47,F,W,N,562,20161116
16-95-FI,23,M,B,N,443,20170705
16-95-FI,24,M,B,N,443,20161116
16-96-FI,35,M,W,N,548,20161117
16-96-FI,37,F,W,N,548,20161117
16-96-FI,32,F,W,N,548,20161117
16-96-FI,30,F,W,N,548,20180903
16-97-FI,19,M,W,N,479,20161228
16-98-FI,24,M,B,N,479,20161120
16-98-FI,24,M,B,N,479,20161120
16-98-FI,24,M,B,N,479,20161120
16-98-FI,22,M,B,N,479,20161120
16-99-FI,28,M,W,N,499,20161129
16-100-FI,34,M,B,N,535,20161127
16-100-FI,37,M,B,N,535,20161127
16-101-FI,19,M,W,N,499,20161201
16-101-FI,15,M,B,N,499,20161201
16-101-FI,17,M,B,N,499,20200714
16-102-FI,27,F,W,N,531,20161204
16-102-FI,28,F,W,N,531,20161204
16-102-FI,35,M,B,N,531,20161204
16-106-FI,22,M,B,N,544,20161224
16-106-FI,29,F,B,N,544,20170311
16-103-FI,38,M,B,N,407,20161213
16-103-FI,37,F,B,N,407,20161213
16-104-FI,21,M,B,N,503,20161215
16-105-FI,25,M,B,N,548,20161224
16-107-FI,18,M,W,N,548,20161225
16-107-FI,46,F,B,N,548,20161225
16-108-FI,51,M,W,N,535,20170114
16-108-FI,23,F,B,N,535,20161231
16-108-FI,29,M,B,N,535,20161230
16-108-FI,35,F,W,N,535,20161230
16-108-FI,27,M,B,N,535,20161230
16-109-FI,30,F,B,N,415,20171018
16-110-FI,28,M,B,N,552,20161227
16-110-FI,45,M,B,N,552,20161227
16-111-FI,19,M,W,N,548,20161228
16-111-FI,22,M,W,N,548,20161228
16-112-FI,22,M,B,N,577,20161228
16-112-FI,19,M,B,N,577,20171023
16-113-FI,19,M,B,N,544,20161230
16-113-FI,16,M,B,N,544,20161230
16-113-FI,20,M,B,N,544,20161230
16-116-FI,30,M,B,N,544,20190207
16-116-FI,34,M,B,N,544,20161231
16-116-FI,21,M,B,N,544,20161231
16-116-FI,39,F,W,H,548,20170103
16-116-FI,37,M,W,N,548,20170628
16-116-FI,39,M,W,H,548,20170628
16-116-FI,55,F,B,N,548,20180312
16-117-FI,14,M,B,N,407,20210615
16-117-FI,17,M,B,N,407,20161231
16-117-FI,20,M,B,N,407,20161231
17-1-FI,20,M,B,N,437,20170102
17-1-FI,19,M,B,N,437,20180103
17-1-FI,18,M,B,U,437,20170102
17-1-FI,22,M,B,N,437,20170102
17-2-FI,19,M,W,N,503,20170104
17-2-FI,19,M,B,N,503,20180921
17-2-FI,19,M,B,N,503,20190913
17-2-FI,19,M,W,H,503,20170104
17-3-FI,33,M,B,N,557,20170108
17-3-FI,18,M,B,N,557,20170108
17-4-FI,25,M,B,H,311,20170208
17-4-FI,18,F,W,U,311,20170112
17-5-FI,28,M,W,N,548,20170112
17-5-FI,27,F,W,N,548,20170112
17-7-FI,19,M,B,N,548,20170116
17-8-FI,26,M,B,N,548,20170118
17-8-FI,26,M,B,N,548,20170118
17-8-FI,21,M,B,N,548,20170118
17-8-FI,50,F,W,N,548,20170324
17-8-FI,24,F,W,N,548,20170324
17-9-FI,25,M,B,N,347,20170118
17-10-FI,30,F,W,N,446,20170119
17-10-FI,39,F,W,N,446,20170119
17-11-FI,18,M,B,N,389,20170123
17-11-FI,17,F,W,H,389,20180514
17-11-FI,17,F,W,H,389,20170123
17-12-FI,26,M,B,N,535,20170123
17-12-FI,19,M,W,H,535,20191203
17-12-FI,26,M,B,N,535,20191203
17-12-FI,25,M,W,N,535,20191203
17-12-FI,27,M,B,N,535,20191203
17-12-FI,21,F,B,N,535,20191203
17-12-FI,24,M,B,N,535,20191203
17-12-FI,25,M,B,N,535,20191203
17-12-FI,24,M,B,N,535,20191203
17-12-FI,26,M,B,N,535,20191203
17-13-FI,24,M,B,N,535,20180820
17-13-FI,24,M,B,N,535,20170124
17-13-FI,19,M,B,N,535,20170630
17-13-FI,29,M,B,H,535,20170124
17-13-FI,22,F,B,N,535,20170124
17-14-FI,30,F,B,N,548,20170124
17-14-FI,20,M,B,N,548,20170124
17-14-FI,24,M,B,N,548,20170124
17-14-FI,23,F,B,N,548,20170603
17-14-FI,22,M,B,N,548,20170603
17-15-FI,21,F,B,N,535,20170126
17-15-FI,22,M,B,H,535,20170126
17-15-FI,26,M,B,N,535,20170126
17-16-FI,19,M,B,N,535,20170126
17-16-FI,18,M,B,N,535,20170126
17-16-FI,19,M,W,N,535,20180217
17-17-FI,19,M,B,N,340,20170126
17-17-FI,19,M,B,N,340,20170126
17-18-FI,29,F,W,N,535,20170131
17-18-FI,41,M,B,N,535,20170131
17-18-FI,38,M,B,N,535,20170131
17-18-FI,36,M,B,H,535,20170131
17-19-FI,30,M,W,N,531,20170202
17-20-FI,27,M,W,N,548,20170204
17-20-FI,24,F,W,N,548,20170204
17-20-FI,58,F,W,N,548,20170204
17-22-FI,35,M,B,N,548,20170211
17-22-FI,31,F,B,N,548,20170211
17-22-FI,41,F,B,N,548,20171019
17-22-FI,48,M,B,N,548,20171019
17-22-FI,22,M,B,N,548,20171019
17-30-FI,37,F,B,N,548,20170223
17-30-FI,41,M,B,N,548,20170223
17-23-FI,37,M,B,N,573,20170216
17-24-FI,23,M,B,N,548,20170217
17-24-FI,46,F,B,N,548,20170217
17-24-FI,20,M,B,N,548,20170217
17-24-FI,21,M,B,N,548,20170217
17-24-FI,21,F,W,N,548,20170217
17-24-FI,20,M,B,N,548,20170312
17-25-FI,22,F,B,N,535,20170219
17-25-FI,47,M,W,N,535,20170219
17-25-FI,29,M,W,N,535,20170219
17-25-FI,21,F,W,N,535,20170219
17-25-FI,44,F,W,N,535,20170219
17-25-FI,22,F,W,N,535,20170219
17-25-FI,26,F,B,N,535,20170219
17-25-FI,20,M,B,N,535,20170219
17-25-FI,00,U,U,U,535,20170219
17-25-FI,19,F,W,N,535,20170219
17-25-FI,21,M,B,N,535,20170219
17-25-FI,46,F,B,N,535,20170219
17-26-FI,35,M,B,N,544,20170218
17-26-FI,27,M,B,N,544,20170218
17-26-FI,27,M,B,N,544,20170218
17-27-FI,30,M,B,N,479,20170221
17-28-FI,27,M,B,H,535,20170222
17-28-FI,19,F,W,N,535,20170222
17-28-FI,46,F,B,N,535,20170222
17-28-FI,27,M,B,N,535,20170222
17-28-FI,21,F,B,N,535,20170225
17-28-FI,20,M,B,N,535,20170225
17-29-FI,46,F,B,N,535,20170224
17-29-FI,21,F,W,N,535,20170224
17-31-FI,26,M,B,N,535,20170628
17-31-FI,20,M,B,N,535,20170628
17-31-FI,45,F,B,N,535,20170628
17-31-FI,23,M,B,N,535,20170628
17-31-FI,46,F,B,N,535,20170628
17-31-FI,25,F,B,H,535,20170628
17-31-FI,25,M,A,N,535,20170628
17-31-FI,19,M,B,N,535,20170628
17-32-FI,23,M,B,N,535,20170303
17-32-FI,28,M,B,N,535,20170303
17-32-FI,44,F,B,N,535,20170303
17-33-FI,19,M,B,N,282,20170301
17-33-FI,20,M,B,N,282,20170301
17-33-FI,20,M,B,N,282,20170301
17-33-FI,17,M,B,N,282,20170301
17-33-FI,16,M,B,N,282,20180402
17-34-FI,22,M,B,U,479,20170302
17-34-FI,24,M,U,N,479,20170302
17-34-FI,21,M,B,H,479,20170302
17-35-FI,29,M,B,N,479,20170302
17-37-FI,22,M,B,N,503,20190830
17-37-FI,23,M,B,N,503,20170304
17-37-FI,24,M,B,N,503,20170304
17-36-FI,23,M,B,N,548,20170304
17-36-FI,26,M,B,N,548,20170304
17-36-FI,23,M,B,N,548,20170304
17-38-FI,50,M,W,N,571,20180607
17-39-FI,31,M,B,N,574,20170310
17-42-FI,24,M,B,N,548,20170312
17-42-FI,27,M,B,N,548,20170312
17-42-FI,24,M,B,N,548,20170312
17-42-FI,52,M,B,N,548,20180603
17-42-FI,51,F,B,N,548,20180603
17-40-FI,45,F,W,N,548,20170311
17-40-FI,22,M,B,N,548,20170311
17-40-FI,24,M,B,N,548,20170430
17-41-FI,31,M,B,N,479,20170311
17-41-FI,25,M,B,N,479,20170311
17-41-FI,30,M,B,N,479,20201105
17-43-FI,21,M,B,N,544,20170313
17-43-FI,30,F,B,N,544,20170313
17-44-FI,28,F,W,N,557,20170315
17-44-FI,30,M,B,N,557,20170315
17-44-FI,41,M,B,N,557,20170315
17-44-FI,48,M,B,N,557,20170315
17-45-FI,25,M,B,N,314,20170318
17-45-FI,27,M,B,N,314,20170318
17-45-FI,24,M,B,N,314,20170318
17-45-FI,24,M,B,N,314,20170705
17-45-FI,23,M,B,N,314,20170318
17-46-FI,24,M,B,N,535,20170320
17-46-FI,24,M,B,N,535,20170320
17-46-FI,18,M,B,N,535,20170320
17-46-FI,23,M,B,H,535,20170320
17-46-FI,00,F,B,N,535,20170512
17-47-FI,22,F,W,N,548,20170323
17-47-FI,21,M,B,N,548,20170323
17-47-FI,24,M,B,N,548,20170323
17-48-FI,35,M,B,N,479,20170324
17-48-FI,22,F,B,N,479,20170324
17-49-FI,25,M,B,N,415,20170328
17-49-FI,20,M,B,N,415,20170328
17-49-FI,21,M,B,N,415,20170328
17-50-FI,24,M,B,N,548,20170328
17-50-FI,23,M,B,N,548,20170328
17-51-FI,34,M,B,N,507,20170330
17-51-FI,53,F,B,N,507,20170330
17-52-FI,33,M,W,N,548,20170404
17-52-FI,30,M,W,N,548,20170405
17-53-FI,27,M,B,U,479,20170406
17-53-FI,23,M,B,N,479,20170406
17-54-FI,26,M,B,N,479,20170406
17-56-FI,20,F,B,N,548,20170410
17-61-FI,15,M,W,N,482,20180910
17-61-FI,14,M,W,N,482,20170426
17-61-FI,18,M,B,N,482,20170426
17-61-FI,16,M,B,N,482,20170426
17-57-FI,25,M,B,N,569,20170414
17-57-FI,22,M,B,N,569,20170414
17-59-FI,21,M,B,N,544,20170423
17-59-FI,26,M,B,N,544,20170423
17-59-FI,24,M,B,N,544,20170423
17-60-FI,33,M,B,N,548,20170423
17-60-FI,30,F,B,H,548,20170423
17-62-FI,19,M,B,U,446,20180222
17-62-FI,18,M,B,U,446,20170426
17-62-FI,20,M,B,U,446,20170426
17-62-FI,17,M,B,H,446,20170426
17-64-FI,23,M,W,H,505,20170430
17-65-FI,31,M,W,N,571,20170430
17-66-FI,49,M,W,N,548,20170504
17-66-FI,36,M,W,N,548,20170504
17-67-FI,23,F,W,N,548,20170504
17-67-FI,32,M,B,N,548,20170504
17-68-FI,24,F,W,N,446,20170505
17-68-FI,23,F,W,N,446,20170504
17-69-FI,49,F,W,N,548,20170505
17-69-FI,56,M,W,N,548,20170505
17-69-FI,51,M,W,N,548,20170505
17-69-FI,46,M,W,N,548,20170505
17-69-FI,56,M,W,N,548,20170505
17-69-FI,32,M,W,N,548,20170505
17-70-FI,39,M,W,N,548,20170522
17-73-FI,25,M,B,N,535,20170514
17-73-FI,22,M,B,N,535,20170514
17-73-FI,21,M,B,N,535,20170514
17-73-FI,23,M,B,N,535,20170514
17-73-FI,25,M,B,N,535,20170514
17-73-FI,52,F,B,N,535,20170514
17-71-FI,26,F,W,N,548,20170510
17-71-FI,45,M,W,N,548,20170510
17-72-FI,58,M,B,N,548,20171009
17-72-FI,38,F,B,N,548,20171009
17-72-FI,26,M,B,N,548,20171009
17-72-FI,18,M,B,N,548,20171009
17-72-FI,24,M,B,N,548,20180820
17-72-FI,54,M,W,H,548,20171009
17-72-FI,44,F,B,N,548,20171009
17-72-FI,55,M,B,N,548,20171009
17-74-FI,24,M,B,N,535,20170514
17-74-FI,35,M,B,N,535,20170514
17-74-FI,36,M,B,N,535,20170514
17-74-FI,28,M,W,N,535,20170514
17-75-FI,24,F,W,N,548,20170516
17-75-FI,20,M,B,H,548,20170516
17-75-FI,57,F,B,H,548,20170516
17-76-FI,60,M,B,N,549,20170521
17-76-FI,62,F,B,N,549,20170521
17-76-FI,38,M,W,N,549,20170521
17-76-FI,24,M,B,N,549,20170521
17-76-FI,21,F,B,N,549,20170603
17-77-FI,27,M,B,N,548,20170521
17-77-FI,33,M,B,N,548,20170521
17-77-FI,28,F,B,H,548,20170521
17-78-FI,34,M,W,N,548,20170522
17-81-FI,23,M,B,N,407,20170524
17-81-FI,21,M,B,N,407,20170524
17-81-FI,19,M,B,N,407,20190226
17-80-FI,21,M,B,N,548,20170602
17-80-FI,24,M,B,N,548,20170705
17-80-FI,25,M,W,N,548,20170602
17-80-FI,25,M,B,N,548,20170602
17-82-FI,66,M,W,N,535,20170525
17-82-FI,71,M,W,N,535,20170525
17-82-FI,53,F,W,N,535,20170525
17-82-FI,00,U,U,U,535,20170525
17-82-FI,40,F,W,N,535,20170525
17-83-FI,19,M,B,H,535,20170531
17-83-FI,00,U,U,U,535,20170531
17-85-FI,34,M,B,N,535,20170605
17-84-FI,32,F,W,N,548,20170603
17-84-FI,59,M,W,N,548,20170603
17-86-FI,22,M,B,N,443,20170614
17-86-FI,24,F,W,H,443,20170614
17-87-FI,30,M,B,N,548,20170614
17-88-FI,27,M,B,N,493,20170616
17-94-FI,40,M,B,N,482,20170621
17-89-FI,46,M,B,H,548,20170617
17-89-FI,23,M,B,N,548,20170617
17-90-FI,30,M,W,H,503,20190701
17-90-FI,26,M,B,N,503,20170619
17-91-FI,35,M,B,N,535,20170619
17-91-FI,32,F,B,N,535,20170619
17-91-FI,40,M,B,N,535,20170619
17-92-FI,23,M,B,N,407,20170812
17-92-FI,24,M,B,N,407,20170812
17-92-FI,24,M,B,N,407,20170812
17-93-FI,37,M,W,N,446,20170620
17-95-FI,33,F,W,N,482,20170621
17-95-FI,42,M,W,N,482,20170621
17-95-FI,00,M,W,H,482,20170621
17-96-FI,41,M,B,N,548,20170621
17-97-FI,27,M,B,N,544,20170622
17-97-FI,44,M,B,H,544,20190723
17-98-FI,29,M,W,N,548,20170708
17-98-FI,28,M,W,N,548,20170708
17-99-FI,24,M,B,N,407,20170624
17-99-FI,33,M,B,N,407,20170624
17-99-FI,24,M,B,N,407,20170624
17-99-FI,20,M,B,N,407,20190104
17-99-FI,16,M,B,N,407,20190925
17-100-FI,41,M,W,N,548,20170625
17-100-FI,85,M,W,N,548,20170625
17-105-FI,50,M,B,N,535,20170630
17-105-FI,18,F,W,N,535,20190709
17-105-FI,18,M,W,H,535,20180404
17-101-FI,21,M,B,N,548,20170628
17-102-FI,32,M,W,N,544,20170629
17-104-FI,51,M,W,N,548,20170629
17-104-FI,47,F,W,N,548,20170629
17-108-FI,20,M,B,N,548,20170704
17-108-FI,20,M,B,H,548,20170704
17-108-FI,20,M,B,N,548,20180603
17-108-FI,22,M,W,N,548,20180603
17-109-FI,50,M,W,N,535,20171220
17-109-FI,19,M,B,H,535,20171220
17-109-FI,20,M,W,N,535,20170705
17-110-FI,28,F,W,N,535,20170707
17-110-FI,30,M,B,N,535,20170712
17-111-FI,22,M,B,N,535,20190404
17-111-FI,27,M,B,N,535,20190404
17-111-FI,26,F,B,N,535,20170707
17-112-FI,34,M,B,N,557,20170723
17-112-FI,39,M,B,N,557,20170723
17-113-FI,33,F,B,N,548,20170708
17-113-FI,24,M,B,N,548,20170708
17-113-FI,25,M,B,N,548,20170708
17-113-FI,33,M,B,N,548,20170709
17-113-FI,31,M,B,N,548,20170711
17-113-FI,24,M,B,N,548,20170716
17-113-FI,23,M,B,N,548,20170716
17-114-FI,27,F,W,N,544,20170709
17-114-FI,34,M,W,N,544,20170709
17-115-FI,21,M,W,N,548,20170710
17-115-FI,20,F,W,N,548,20170710
17-118-FI,31,M,W,H,548,20190902
17-118-FI,35,F,W,N,548,20170710
17-118-FI,50,M,B,N,548,20170710
17-118-FI,50,M,B,N,548,20170710
17-118-FI,39,M,W,H,548,20170710
17-119-FI,23,M,B,N,535,20170716
17-119-FI,00,U,U,U,535,20170716
17-121-FI,21,M,B,N,544,20170715
17-121-FI,20,M,B,N,544,20170715
17-121-FI,51,F,B,N,544,20170715
17-120-FI,15,M,B,N,531,20170714
17-120-FI,17,M,B,N,531,20210527
17-120-FI,18,M,B,N,531,20181205
17-120-FI,14,M,W,N,531,20170714
